entity,precision,recall,f1
aeroway,0.2,0.2727272727272727,0.23076923076923075
amenity,0.4153846153846154,0.46551724137931033,0.43902439024390244
boundary,0.5719424460431655,0.6476578411405295,0.6074498567335245
bridge,0.0,0.0,0.0
building,0.3888888888888889,0.35,0.36842105263157887
club,0.0,0.0,0.0
healthcare,0.0,0.0,0.0
highway,0.5407725321888412,0.5625,0.5514223194748359
landuse,0.0,0.0,0.0
leisure,0.2,0.35714285714285715,0.25641025641025644
natural,0.5357142857142857,0.5555555555555556,0.5454545454545454
office,0.0,0.0,0.0
place,0.3103448275862069,0.34838709677419355,0.3282674772036474
railway,0.3,0.5,0.37499999999999994
shop,0.1,0.09090909090909091,0.09523809523809525
tourism,0.07692307692307693,0.1111111111111111,0.09090909090909093
waterway,0.6086956521739131,0.6829268292682927,0.6436781609195402
