entity,precision,recall,f1,support
aeroway,0.8888888888888888,0.8,0.8421052631578948,10
amenity,0.31543624161073824,0.49473684210526314,0.38524590163934425,95
boundary,0.6492048643592142,0.6830708661417323,0.6657074340527578,1016
bridge,0.0,0.0,0.0,3
building,0.4782608695652174,0.4583333333333333,0.4680851063829787,48
club,0.0,0.0,0.0,0
highway,0.5744274809160306,0.6688888888888889,0.6180698151950719,450
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.45454545454545453,0.19230769230769232,0.27027027027027023,26
leisure,0.3968253968253968,0.5434782608695652,0.45871559633027525,46
man_made,0.8,0.8,0.8000000000000002,5
natural,0.46551724137931033,0.5192307692307693,0.49090909090909085,52
office,0.4,0.4444444444444444,0.4210526315789474,9
place,0.4270833333333333,0.5061728395061729,0.4632768361581921,324
railway,0.2,0.2,0.20000000000000004,5
shop,0.15789473684210525,0.2,0.17647058823529413,15
tourism,0.2631578947368421,0.38461538461538464,0.3125,13
waterway,0.5982142857142857,0.6979166666666666,0.6442307692307692,96
