entity,precision,recall,f1,support
aeroway,0.6842105263157895,0.7222222222222222,0.7027027027027027,18
amenity,0.4409448818897638,0.5185185185185185,0.47659574468085103,108
boundary,0.6975881261595547,0.7322297955209348,0.7144893111638955,1027
bridge,0.0,0.0,0.0,2
building,0.48717948717948717,0.5135135135135135,0.5,37
club,0.0,0.0,0.0,1
highway,0.6460767946577629,0.7113970588235294,0.6771653543307086,544
junction,0.0,0.0,0.0,2
landuse,0.25,0.3333333333333333,0.28571428571428575,12
leisure,0.48717948717948717,0.6785714285714286,0.5671641791044776,28
man_made,0.6,0.42857142857142855,0.5,7
natural,0.5714285714285714,0.49122807017543857,0.5283018867924528,57
office,0.4,0.3333333333333333,0.3636363636363636,6
place,0.408675799086758,0.5249266862170088,0.4595635430038511,341
railway,0.25,0.4,0.3076923076923077,5
shop,0.14285714285714285,0.2,0.16666666666666666,10
tourism,0.4166666666666667,0.3125,0.35714285714285715,16
tunnel,0.0,0.0,0.0,1
waterway,0.6074766355140186,0.7831325301204819,0.6842105263157895,83
