entity,precision,recall,f1
aeroway,0.15384615384615385,0.18181818181818182,0.16666666666666669
amenity,0.2857142857142857,0.3793103448275862,0.3259259259259259
boundary,0.5588752196836555,0.6476578411405295,0.6
building,0.2222222222222222,0.3,0.25531914893617025
healthcare,0.0,0.0,0.0
highway,0.5139442231075697,0.5758928571428571,0.543157894736842
landuse,0.0,0.0,0.0
leisure,0.17391304347826086,0.2857142857142857,0.2162162162162162
natural,0.5,0.5185185185185185,0.509090909090909
office,0.0,0.0,0.0
place,0.2529411764705882,0.27741935483870966,0.26461538461538464
railway,0.3333333333333333,0.16666666666666666,0.2222222222222222
shop,0.5,0.36363636363636365,0.4210526315789474
tourism,0.125,0.1111111111111111,0.11764705882352941
waterway,0.6744186046511628,0.7073170731707317,0.6904761904761904
