best_epoch_by_valid_f1,best_valid_f1_from_curve,train_time_sec,train_loss,train_precision,train_recall,train_f1,train_accuracy,valid_loss,valid_precision,valid_recall,valid_f1,valid_accuracy,test_loss,test_precision,test_recall,test_f1,test_accuracy,dlr_ratio,syn_ratio,sample_seed,dlr_total_used,train_real_size,valid_size,test_size,syn_total_used,train_final_size
6.0,0.5577342047930284,1569.2760691642761,0.01716279797255993,0.9533848676505037,0.9660574412532638,0.9596793209148785,0.9951383298072183,0.3261879086494446,0.5276174773289365,0.5914972273567468,0.5577342047930284,0.9378867206092337,0.3233976364135742,0.5157977883096366,0.5893501805054152,0.5501263689974727,0.9408819448633648,0.5,0.3,11,3717,2230,743,744,3000,5230
7.0,0.5419624217118998,1746.6629283428192,0.010299261659383774,0.9653558052434457,0.9754020813623463,0.9703529411764706,0.9967462515938971,0.37866535782814026,0.5163086714399363,0.570298769771529,0.5419624217118998,0.9353942546400283,0.3711738884449005,0.5109797297297297,0.5591497227356746,0.5339805825242718,0.9396369272960324,0.5,0.3,22,3717,2230,743,744,3000,5230
8.0,0.599046380580841,2949.5377011299133,0.004407074768096209,0.9858051160727488,0.9898300051963477,0.9878134607548986,0.9984399234474064,0.38672277331352234,0.5640816326530612,0.6386321626617375,0.599046380580841,0.9408912422655878,0.37056154012680054,0.5311268715524035,0.6083032490974729,0.5671013883045856,0.9402183748567292,0.5,0.6,11,3717,2230,743,744,6000,8230
14.0,0.5929941618015012,4537.729886054993,0.0004944599932059646,0.9990360373720896,0.9991101223581758,0.9990730784917133,0.9998360409351132,0.4281146228313446,0.5642857142857143,0.624780316344464,0.5929941618015012,0.9457087126137841,0.4452359676361084,0.5601374570446735,0.6025878003696857,0.5805877114870882,0.9461352729007064,0.5,0.6,22,3717,2230,743,744,6000,8230
15.0,0.6287989939216098,4501.087309122086,0.0007296709227375686,0.9972658920027341,0.9974363356691164,0.997351106553875,0.9997931557537174,0.3810228407382965,0.5980861244019139,0.6628369421122404,0.6287989939216098,0.950378355654315,0.41918861865997314,0.5874153723616089,0.6558470431302801,0.6197478991596638,0.9483678825229264,1.0,0.3,11,7434,4460,1486,1488,3000,7460
18.0,0.619398274773827,5002.823009967804,0.0003027746279258281,0.9987244897959183,0.9988943697907807,0.9988094225699464,0.9999118513891071,0.4439052939414978,0.5859872611464968,0.6568496207050424,0.619398274773827,0.9471327631089624,0.46676769852638245,0.5991786447638604,0.6519213583556747,0.6244382623582282,0.9459702701486492,1.0,0.3,22,7434,4460,1486,1488,3000,7460
19.99,0.6416910841356216,6749.209019422531,0.0001859167532529682,0.9993432443727984,0.9994625903146832,0.99940291378075,0.9999159755395459,0.40648534893989563,0.6095427435387674,0.6774193548387096,0.6416910841356216,0.9527205573238845,0.4265390932559967,0.60655090765588,0.6834148510449088,0.6426928705833159,0.9509332704272698,1.0,0.6,11,7434,4460,1486,1488,6000,10460
8.0,0.6183140778776209,3587.766372680664,0.005337918177247047,0.9856123662306777,0.9875498897956753,0.9865801767488918,0.9984624434698978,0.3460768461227417,0.5939169749280724,0.644801427933958,0.6183140778776209,0.9488285608032726,0.3388846516609192,0.6215292609995728,0.6501340482573726,0.6355099366673946,0.9502152489237554,1.0,0.6,22,7434,4460,1486,1488,6000,10460
