entity,precision,recall,f1
aeroway,0.4,0.5454545454545454,0.4615384615384615
amenity,0.4027777777777778,0.5,0.4461538461538462
boundary,0.575,0.6558044806517311,0.6127497621313035
building,0.41379310344827586,0.6,0.4897959183673469
healthcare,0.0,0.0,0.0
highway,0.5454545454545454,0.5625,0.5538461538461538
landuse,0.0,0.0,0.0
leisure,0.2608695652173913,0.42857142857142855,0.3243243243243243
natural,0.5666666666666667,0.6296296296296297,0.5964912280701755
office,0.0,0.0,0.0
place,0.36477987421383645,0.3741935483870968,0.36942675159235666
railway,0.0,0.0,0.0
shop,0.15384615384615385,0.18181818181818182,0.16666666666666669
tourism,0.0,0.0,0.0
waterway,0.6585365853658537,0.6585365853658537,0.6585365853658537
