entity,precision,recall,f1,support
aeroway,0.4,0.25,0.3076923076923077,8
amenity,0.2602739726027397,0.5,0.34234234234234234,38
boundary,0.6648841354723708,0.6985018726591761,0.6812785388127854,534
building,0.5714285714285714,0.5714285714285714,0.5714285714285714,21
club,0.0,0.0,0.0,1
healthcare,0.0,0.0,0.0,1
highway,0.5735294117647058,0.6141732283464567,0.5931558935361216,254
landuse,0.14285714285714285,0.25,0.18181818181818182,4
leisure,0.2903225806451613,0.42857142857142855,0.34615384615384615,21
man_made,0.0,0.0,0.0,1
natural,0.4583333333333333,0.5238095238095238,0.4888888888888889,21
office,0.0,0.0,0.0,5
place,0.2922374429223744,0.41025641025641024,0.3413333333333333,156
railway,0.3,0.375,0.33333333333333326,8
shop,0.18181818181818182,0.16666666666666666,0.17391304347826086,12
tourism,0.4,0.2222222222222222,0.2857142857142857,9
tunnel,0.0,0.0,0.0,1
waterway,0.717948717948718,0.7368421052631579,0.7272727272727273,38
