epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
1.0,1098,0.14116603136062622,0.5238455715367146,0.6195165622202328,0.5676784249384741,0.9480210684725358
2.0,2197,0.14929580688476562,0.581758422350041,0.6338406445837064,0.6066838046272492,0.9534687735139202
3.0,3295,0.15419676899909973,0.602595296025953,0.6651745747538048,0.6323404255319148,0.9568096313017306
4.0,4394,0.19838446378707886,0.5922406967537609,0.6696508504923904,0.6285714285714286,0.9550940556809632
5.0,5492,0.1952710747718811,0.6009654062751408,0.6687555953446732,0.6330508474576271,0.9548833709556057
6.0,6591,0.233546182513237,0.6133333333333333,0.7000895255147717,0.6538461538461539,0.9571407072987208
7.0,7689,0.24728015065193176,0.6218487394957983,0.6624888093106536,0.6415257910706545,0.9574115876598946
8.0,8788,0.27504709362983704,0.6323651452282157,0.6821844225604298,0.6563307493540051,0.9561173814898419
9.0,9886,0.2633412778377533,0.6428571428571429,0.6929274843330349,0.6669538991813873,0.9574416854778028
10.0,10985,0.2730576992034912,0.6376221498371335,0.7009847806624888,0.6678038379530917,0.9572610985703537
11.0,12083,0.33685725927352905,0.6413849958779885,0.6965085049239033,0.6678111587982832,0.9571106094808126
12.0,13182,0.3311742842197418,0.6274038461538461,0.7009847806624888,0.6621564482029598,0.9576824680210685
13.0,14280,0.3197321593761444,0.6261079774375503,0.6956132497761862,0.6590330788804072,0.957170805116629
14.0,15379,0.33056122064590454,0.6282051282051282,0.7018800358102059,0.6630021141649048,0.9573513920240783
15.0,16477,0.3572695851325989,0.6294820717131474,0.7072515666965085,0.66610455311973,0.9564785553047404
16.0,17576,0.3739272356033325,0.6403940886699507,0.6982990152193375,0.6680942184154175,0.9565086531226487
17.0,18674,0.38059723377227783,0.6354166666666666,0.7099373321396598,0.6706131078224102,0.9566892400300978
18.0,19773,0.3722081482410431,0.6331456154465004,0.7045658012533572,0.6669491525423729,0.956719337848006
19.0,20871,0.38094595074653625,0.6421647819063004,0.711727842435094,0.6751592356687898,0.9570504138449962
19.99,21960,0.38272756338119507,0.6388663967611335,0.7063563115487914,0.6709183673469387,0.9572009029345373
