entity,precision,recall,f1
aeroway,0.125,0.25,0.16666666666666666
amenity,0.4074074074074074,0.4888888888888889,0.4444444444444444
boundary,0.5858778625954199,0.599609375,0.5926640926640926
bridge,0.0,0.0,0.0
building,0.46153846153846156,0.46153846153846156,0.46153846153846156
club,0.0,0.0,0.0
highway,0.5405405405405406,0.6274509803921569,0.5807622504537205
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.11764705882352941,0.2857142857142857,0.16666666666666666
leisure,0.2903225806451613,0.4090909090909091,0.339622641509434
man_made,0.5,0.5,0.5
natural,0.24489795918367346,0.4,0.30379746835443044
office,0.0,0.0,0.0
place,0.2619047619047619,0.34375,0.2972972972972973
railway,0.18181818181818182,0.5,0.26666666666666666
shop,0.0,0.0,0.0
tourism,0.0,0.0,0.0
waterway,0.5833333333333334,0.7368421052631579,0.6511627906976745
