entity,precision,recall,f1,support
aeroway,0.29411764705882354,0.38461538461538464,0.33333333333333337,13
amenity,0.391304347826087,0.525,0.44839857651245546,120
boundary,0.69106463878327,0.7373225152129818,0.7134445534838076,986
bridge,0.0,0.0,0.0,1
building,0.5277777777777778,0.5757575757575758,0.5507246376811594,33
club,0.0,0.0,0.0,0
highway,0.6404886561954625,0.7140077821011673,0.6752529898804048,514
historic,0.0,0.0,0.0,2
junction,0.0,0.0,0.0,1
landuse,0.3333333333333333,0.18518518518518517,0.23809523809523808,27
leisure,0.4222222222222222,0.6129032258064516,0.5,31
man_made,0.2857142857142857,0.6666666666666666,0.4,3
natural,0.48214285714285715,0.5625,0.5192307692307692,48
office,0.25,0.2,0.22222222222222224,10
place,0.4054794520547945,0.5085910652920962,0.45121951219512196,291
railway,0.21428571428571427,0.3,0.25,10
shop,0.3125,0.5555555555555556,0.39999999999999997,9
tourism,0.26666666666666666,0.3076923076923077,0.28571428571428575,13
tunnel,0.0,0.0,0.0,1
waterway,0.6597938144329897,0.7441860465116279,0.6994535519125683,86
