entity,precision,recall,f1
aeroway,0.5555555555555556,0.5882352941176471,0.5714285714285715
amenity,0.44594594594594594,0.584070796460177,0.5057471264367815
boundary,0.7156488549618321,0.7345739471106758,0.7249879168680522
bridge,0.0,0.0,0.0
building,0.7419354838709677,0.5609756097560976,0.638888888888889
healthcare,0.0,0.0,0.0
highway,0.6054158607350096,0.657563025210084,0.6304128902316213
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.3,0.13636363636363635,0.18749999999999997
leisure,0.46875,0.6666666666666666,0.5504587155963303
man_made,0.6666666666666666,0.2857142857142857,0.4
natural,0.7647058823529411,0.5416666666666666,0.6341463414634146
office,0.14285714285714285,0.2,0.16666666666666666
place,0.49421965317919075,0.5166163141993958,0.5051698670605613
railway,0.2,0.1111111111111111,0.14285714285714285
shop,0.0,0.0,0.0
tourism,0.1111111111111111,0.06666666666666667,0.08333333333333334
tunnel,0.0,0.0,0.0
waterway,0.6744186046511628,0.8055555555555556,0.7341772151898734
