entity,precision,recall,f1,support
aeroway,0.2857142857142857,0.3076923076923077,0.29629629629629634,13
amenity,0.3488372093023256,0.4166666666666667,0.379746835443038,108
boundary,0.6842584167424932,0.7258687258687259,0.7044496487119438,1036
bridge,0.0,0.0,0.0,1
building,0.4583333333333333,0.5,0.4782608695652174,44
club,0.0,0.0,0.0,0
healthcare,0.0,0.0,0.0,1
highway,0.6793893129770993,0.7432150313152401,0.7098703888334995,479
historic,0.0,0.0,0.0,3
junction,0.0,0.0,0.0,1
landuse,0.19047619047619047,0.21052631578947367,0.2,19
leisure,0.5581395348837209,0.5333333333333333,0.5454545454545454,45
man_made,0.4,0.3333333333333333,0.3636363636363636,6
natural,0.6206896551724138,0.5714285714285714,0.5950413223140496,63
office,0.0,0.0,0.0,3
place,0.38992042440318303,0.48355263157894735,0.4317180616740088,304
railway,0.2222222222222222,0.5,0.30769230769230765,4
shop,0.4166666666666667,0.2777777777777778,0.33333333333333337,18
tourism,0.29411764705882354,0.3125,0.30303030303030304,16
tunnel,0.0,0.0,0.0,1
waterway,0.6373626373626373,0.7341772151898734,0.6823529411764706,79
