entity,precision,recall,f1,support
aeroway,0.46153846153846156,0.8571428571428571,0.6,7
amenity,0.3333333333333333,0.4,0.3636363636363636,50
boundary,0.6226415094339622,0.61875,0.6206896551724138,480
bridge,0.0,0.0,0.0,2
building,0.3181818181818182,0.3684210526315789,0.3414634146341463,19
highway,0.554858934169279,0.6413043478260869,0.5949579831932773,276
historic,0.0,0.0,0.0,1
landuse,0.25,0.375,0.3,8
leisure,0.4358974358974359,0.7083333333333334,0.5396825396825398,24
man_made,0.0,0.0,0.0,2
military,0.0,0.0,0.0,1
natural,0.25,0.30434782608695654,0.27450980392156865,23
office,0.0,0.0,0.0,3
place,0.28761061946902655,0.4088050314465409,0.33766233766233766,159
railway,0.0,0.0,0.0,4
shop,0.15384615384615385,0.18181818181818182,0.16666666666666669,11
tourism,0.125,0.2,0.15384615384615385,5
waterway,0.5084745762711864,0.6122448979591837,0.5555555555555556,49
