entity,precision,recall,f1,support
aeroway,0.29411764705882354,0.4166666666666667,0.3448275862068966,12
amenity,0.3402777777777778,0.44545454545454544,0.38582677165354334,110
boundary,0.6757493188010899,0.7425149700598802,0.7075606276747505,1002
bridge,0.0,0.0,0.0,1
building,0.5227272727272727,0.5227272727272727,0.5227272727272727,44
club,0.0,0.0,0.0,1
highway,0.6518771331058021,0.7388781431334622,0.6926563916591115,517
historic,0.0,0.0,0.0,1
landuse,0.2727272727272727,0.15789473684210525,0.19999999999999998,19
leisure,0.4423076923076923,0.575,0.5,40
man_made,0.09090909090909091,0.2,0.12500000000000003,5
military,0.0,0.0,0.0,1
natural,0.5,0.46296296296296297,0.4807692307692307,54
office,0.5,0.14285714285714285,0.22222222222222224,7
place,0.3725,0.45565749235474007,0.40990371389270974,327
railway,0.3333333333333333,0.6,0.42857142857142855,5
shop,0.21052631578947367,0.4444444444444444,0.2857142857142857,9
tourism,0.3333333333333333,0.4,0.3636363636363636,10
tunnel,0.0,0.0,0.0,0
waterway,0.6262626262626263,0.7294117647058823,0.6739130434782609,85
