entity,precision,recall,f1
aeroway,0.14285714285714285,0.25,0.18181818181818182
amenity,0.3958333333333333,0.4222222222222222,0.40860215053763443
boundary,0.5988805970149254,0.626953125,0.6125954198473282
bridge,0.0,0.0,0.0
building,0.375,0.46153846153846156,0.41379310344827586
highway,0.5596026490066225,0.6627450980392157,0.6068222621184919
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.05263157894736842,0.14285714285714285,0.07692307692307693
leisure,0.32,0.36363636363636365,0.3404255319148936
man_made,0.5,0.5,0.5
natural,0.4411764705882353,0.5,0.46875
office,0.0,0.0,0.0
place,0.30177514792899407,0.31875,0.3100303951367781
railway,0.2857142857142857,0.5,0.36363636363636365
shop,0.06666666666666667,0.2,0.1
tourism,0.0,0.0,0.0
waterway,0.58,0.7631578947368421,0.6590909090909091
