entity,precision,recall,f1,support
aeroway,0.5714285714285714,0.8,0.6666666666666666,10
amenity,0.3055555555555556,0.4631578947368421,0.3682008368200837,95
boundary,0.6579683131407269,0.6948818897637795,0.6759214935375778,1016
bridge,0.0,0.0,0.0,3
building,0.5102040816326531,0.5208333333333334,0.5154639175257733,48
highway,0.5869980879541109,0.6822222222222222,0.63103802672148,450
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.13636363636363635,0.11538461538461539,0.12499999999999997,26
leisure,0.34285714285714286,0.5217391304347826,0.4137931034482759,46
man_made,0.6,0.6,0.6,5
natural,0.4375,0.5384615384615384,0.4827586206896552,52
office,0.7142857142857143,0.5555555555555556,0.6250000000000001,9
place,0.42670157068062825,0.5030864197530864,0.46175637393767704,324
railway,0.2,0.2,0.20000000000000004,5
shop,0.22727272727272727,0.3333333333333333,0.27027027027027023,15
tourism,0.2777777777777778,0.38461538461538464,0.3225806451612903,13
waterway,0.6226415094339622,0.6875,0.6534653465346534,96
