entity,precision,recall,f1
aeroway,0.23076923076923078,0.2727272727272727,0.24999999999999994
amenity,0.3375,0.46551724137931033,0.3913043478260869
boundary,0.593065693430657,0.6619144602851323,0.6256015399422522
building,0.4090909090909091,0.45,0.4285714285714286
healthcare,0.0,0.0,0.0
highway,0.5161290322580645,0.5714285714285714,0.5423728813559322
landuse,0.0,0.0,0.0
leisure,0.2608695652173913,0.42857142857142855,0.3243243243243243
natural,0.6428571428571429,0.6666666666666666,0.6545454545454545
office,0.0,0.0,0.0
place,0.3069306930693069,0.4,0.3473389355742297
railway,0.2,0.16666666666666666,0.1818181818181818
shop,0.25,0.2727272727272727,0.2608695652173913
tourism,0.125,0.1111111111111111,0.11764705882352941
waterway,0.7073170731707317,0.7073170731707317,0.7073170731707317
