epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.07,1.9713,,,,,
0.14,0.7693,,,,,
0.22,0.5476,,,,,
0.29,0.5191,,,,,
0.36,0.4562,,,,,
0.43,0.4573,,,,,
0.5,0.434,,,,,
0.57,0.4471,,,,,
0.65,0.4229,,,,,
0.72,0.3816,,,,,
0.79,0.4041,,,,,
0.86,0.3954,,,,,
0.93,0.3407,,,,,
1.0,0.398,0.3209865987300873,0.2043343653250774,0.3122043519394513,0.2470059880239521,0.9098793589820539
1.08,0.3037,,,,,
1.15,0.2939,,,,,
1.22,0.2941,,,,,
1.29,0.3213,,,,,
1.36,0.2588,,,,,
1.43,0.2256,,,,,
1.51,0.3125,,,,,
1.58,0.2845,,,,,
1.65,0.2168,,,,,
1.72,0.2637,,,,,
1.79,0.2547,,,,,
1.87,0.2739,,,,,
1.94,0.2722,,,,,
2.0,,0.25978899002075195,0.32686567164179103,0.41438032166508987,0.3654568210262828,0.9316067462937399
2.01,0.2437,,,,,
2.08,0.2352,,,,,
2.15,0.191,,,,,
2.22,0.1785,,,,,
2.3,0.1938,,,,,
2.37,0.1712,,,,,
2.44,0.2235,,,,,
2.51,0.2007,,,,,
2.58,0.2178,,,,,
2.65,0.1641,,,,,
2.73,0.1862,,,,,
2.8,0.1727,,,,,
2.87,0.187,,,,,
2.94,0.1548,,,,,
3.0,,0.25884538888931274,0.377587437544611,0.5004730368968779,0.4304312449145647,0.933137266670668
3.01,0.2058,,,,,
3.09,0.1487,,,,,
3.16,0.1141,,,,,
3.23,0.1188,,,,,
3.3,0.1417,,,,,
3.37,0.1317,,,,,
3.44,0.1569,,,,,
3.52,0.1332,,,,,
3.59,0.1551,,,,,
3.66,0.1435,,,,,
3.73,0.1536,,,,,
3.8,0.1311,,,,,
3.87,0.1056,,,,,
3.95,0.1011,,,,,
4.0,,0.2763001620769501,0.4185692541856925,0.5203405865657521,0.4639392661324335,0.9361082768141168
4.02,0.1156,,,,,
4.09,0.101,,,,,
4.16,0.1124,,,,,
4.23,0.0897,,,,,
4.3,0.0926,,,,,
4.38,0.1011,,,,,
4.45,0.0877,,,,,
4.52,0.1115,,,,,
4.59,0.0917,,,,,
4.66,0.0851,,,,,
4.74,0.1034,,,,,
4.81,0.0947,,,,,
4.88,0.088,,,,,
4.95,0.0978,,,,,
5.0,,0.28113341331481934,0.42385596399099773,0.5345316934720908,0.47280334728033474,0.9358381849828942
5.02,0.0916,,,,,
5.09,0.0672,,,,,
5.17,0.0652,,,,,
5.24,0.0796,,,,,
5.31,0.0603,,,,,
5.38,0.0931,,,,,
5.45,0.0727,,,,,
5.52,0.0686,,,,,
5.6,0.0672,,,,,
5.67,0.085,,,,,
5.74,0.0624,,,,,
5.81,0.0585,,,,,
5.88,0.0557,,,,,
5.96,0.0886,,,,,
6.0,,0.2880719006061554,0.46072874493927124,0.5383159886471145,0.4965095986038395,0.9399795930616409
6.03,0.057,,,,,
6.1,0.0386,,,,,
6.17,0.0581,,,,,
6.24,0.056,,,,,
6.31,0.0392,,,,,
6.39,0.0567,,,,,
6.46,0.0428,,,,,
6.53,0.049,,,,,
6.6,0.058,,,,,
6.67,0.0627,,,,,
6.74,0.0403,,,,,
6.82,0.0436,,,,,
6.89,0.0659,,,,,
6.96,0.0522,,,,,
7.0,,0.3030349016189575,0.45524100994644223,0.5629139072847682,0.5033840947546531,0.9410899705900005
7.03,0.0723,,,,,
7.1,0.0368,,,,,
7.17,0.0562,,,,,
7.25,0.032,,,,,
7.32,0.0494,,,,,
7.39,0.0522,,,,,
7.46,0.0458,,,,,
7.53,0.0368,,,,,
7.61,0.047,,,,,
7.68,0.0339,,,,,
7.75,0.0305,,,,,
7.82,0.0247,,,,,
7.89,0.033,,,,,
7.96,0.0288,,,,,
8.0,,0.3335763216018677,0.4628482972136223,0.565752128666036,0.5091528309919116,0.9408498889622472
8.04,0.0344,,,,,
8.11,0.0324,,,,,
8.18,0.0239,,,,,
8.25,0.0218,,,,,
8.32,0.0257,,,,,
8.39,0.0287,,,,,
8.47,0.0221,,,,,
8.54,0.034,,,,,
8.61,0.0423,,,,,
8.68,0.0306,,,,,
8.75,0.0303,,,,,
8.83,0.04,,,,,
8.9,0.0238,,,,,
8.97,0.0265,,,,,
9.0,,0.34084635972976685,0.4810126582278481,0.575212866603595,0.5239121068504955,0.9431906848328432
9.04,0.0313,,,,,
9.11,0.0226,,,,,
9.18,0.0323,,,,,
9.26,0.0166,,,,,
9.33,0.0276,,,,,
9.4,0.0188,,,,,
9.47,0.0187,,,,,
9.54,0.0158,,,,,
9.61,0.0246,,,,,
9.69,0.0135,,,,,
9.76,0.0173,,,,,
9.83,0.0241,,,,,
9.9,0.0305,,,,,
9.97,0.0173,,,,,
10.0,,0.3580407202243805,0.4542728635682159,0.5733207190160833,0.506900878293601,0.9376988175979833
10.04,0.0191,,,,,
10.12,0.0167,,,,,
10.19,0.0144,,,,,
10.26,0.0089,,,,,
10.33,0.0165,,,,,
10.4,0.018,,,,,
10.48,0.0184,,,,,
10.55,0.0147,,,,,
10.62,0.0136,,,,,
10.69,0.0188,,,,,
10.76,0.0152,,,,,
10.83,0.0134,,,,,
10.91,0.0193,,,,,
10.98,0.0149,,,,,
11.0,,0.366684228181839,0.49115755627009644,0.5780510879848628,0.5310734463276835,0.9431006542224356
11.05,0.01,,,,,
11.12,0.0178,,,,,
11.19,0.0095,,,,,
11.26,0.0118,,,,,
11.34,0.0104,,,,,
11.41,0.0125,,,,,
11.48,0.0125,,,,,
11.55,0.0126,,,,,
11.62,0.0119,,,,,
11.7,0.0139,,,,,
11.77,0.0081,,,,,
11.84,0.0108,,,,,
11.91,0.0104,,,,,
11.98,0.0106,,,,,
12.0,,0.38350698351860046,0.46236559139784944,0.5695364238410596,0.5103857566765578,0.9420502971010144
12.05,0.0108,,,,,
12.13,0.0079,,,,,
12.2,0.0089,,,,,
12.27,0.0083,,,,,
12.34,0.0097,,,,,
12.41,0.0084,,,,,
12.48,0.0168,,,,,
12.56,0.0069,,,,,
12.63,0.0059,,,,,
12.7,0.0051,,,,,
12.77,0.0065,,,,,
12.84,0.0053,,,,,
12.91,0.0101,,,,,
12.99,0.015,,,,,
13.0,,0.3883541226387024,0.4837430610626487,0.5771050141911069,0.5263157894736842,0.9428605725946821
13.06,0.006,,,,,
13.13,0.0069,,,,,
13.2,0.0065,,,,,
13.27,0.0082,,,,,
13.35,0.0074,,,,,
13.42,0.0057,,,,,
13.49,0.0087,,,,,
13.56,0.0045,,,,,
13.63,0.006,,,,,
13.7,0.004,,,,,
13.78,0.0083,,,,,
13.85,0.0059,,,,,
13.92,0.0052,,,,,
13.99,0.0071,,,,,
14.0,,0.3982245624065399,0.48738170347003157,0.5846736045411542,0.5316129032258065,0.9426805113738671
14.06,0.005,,,,,
14.13,0.0057,,,,,
14.21,0.0046,,,,,
14.28,0.0049,,,,,
14.35,0.0071,,,,,
14.42,0.0049,,,,,
14.49,0.0074,,,,,
14.57,0.005,,,,,
14.64,0.0052,,,,,
14.71,0.0048,,,,,
14.78,0.0057,,,,,
14.85,0.0058,,,,,
14.92,0.0085,,,,,
15.0,0.0045,0.3997546434402466,0.48772763262074426,0.5827814569536424,0.5310344827586206,0.9430106236120281
15.07,0.0065,,,,,
15.14,0.0043,,,,,
15.21,0.0061,,,,,
15.28,0.003,,,,,
15.35,0.0058,,,,,
15.43,0.0025,,,,,
15.5,0.0049,,,,,
15.57,0.0065,,,,,
15.64,0.0036,,,,,
15.71,0.0036,,,,,
15.78,0.0054,,,,,
15.86,0.0026,,,,,
15.93,0.008,,,,,
16.0,0.0032,0.41150304675102234,0.48503937007874015,0.5827814569536424,0.5294370434035238,0.9428605725946821
16.07,0.0044,,,,,
16.14,0.0054,,,,,
16.22,0.0035,,,,,
16.29,0.0046,,,,,
16.36,0.003,,,,,
16.43,0.0031,,,,,
16.5,0.0029,,,,,
16.57,0.0032,,,,,
16.65,0.0056,,,,,
16.72,0.0047,,,,,
16.79,0.0044,,,,,
16.86,0.0046,,,,,
16.93,0.0025,,,,,
17.0,0.0035,0.4158485233783722,0.49838969404186795,0.5856196783349101,0.5384949978251413,0.943160674629374
17.08,0.0016,,,,,
17.15,0.0033,,,,,
17.22,0.0033,,,,,
17.29,0.0032,,,,,
17.36,0.0034,,,,,
17.43,0.0032,,,,,
17.51,0.0033,,,,,
17.58,0.0038,,,,,
17.65,0.007,,,,,
17.72,0.0043,,,,,
17.79,0.0042,,,,,
17.87,0.004,,,,,
17.94,0.0032,,,,,
18.0,,0.41466307640075684,0.49798549556809024,0.5846736045411542,0.5378590078328982,0.9441510113438569
18.01,0.004,,,,,
18.08,0.0035,,,,,
18.15,0.0038,,,,,
18.22,0.0025,,,,,
18.3,0.0029,,,,,
18.37,0.002,,,,,
18.44,0.0031,,,,,
18.51,0.005,,,,,
18.58,0.0031,,,,,
18.65,0.0031,,,,,
18.73,0.0024,,,,,
18.8,0.0017,,,,,
18.87,0.002,,,,,
18.94,0.0019,,,,,
19.0,,0.4166928827762604,0.4967897271268058,0.5856196783349101,0.537559704732957,0.9439409399195726
19.01,0.0041,,,,,
19.09,0.0043,,,,,
19.16,0.0019,,,,,
19.23,0.0016,,,,,
19.3,0.0035,,,,,
19.37,0.0013,,,,,
19.44,0.003,,,,,
19.52,0.0021,,,,,
19.59,0.0022,,,,,
19.66,0.0028,,,,,
19.73,0.0021,,,,,
19.8,0.0018,,,,,
19.87,0.0016,,,,,
19.95,0.0032,0.4199202358722687,0.4940239043824701,0.586565752128666,0.5363321799307958,0.9437308684952884
