entity,precision,recall,f1
aeroway,0.0,0.0,0.0
amenity,0.3333333333333333,0.4444444444444444,0.380952380952381
boundary,0.5753676470588235,0.611328125,0.5928030303030303
bridge,0.0,0.0,0.0
building,0.5,0.46153846153846156,0.48000000000000004
highway,0.5432525951557093,0.615686274509804,0.5772058823529411
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.07142857142857142,0.14285714285714285,0.09523809523809523
leisure,0.34615384615384615,0.4090909090909091,0.37500000000000006
man_made,0.5,0.5,0.5
natural,0.37142857142857144,0.43333333333333335,0.4
office,0.0,0.0,0.0
place,0.2871287128712871,0.3625,0.32044198895027626
railway,0.4,0.5,0.4444444444444445
shop,0.09090909090909091,0.2,0.12500000000000003
tourism,0.0,0.0,0.0
waterway,0.56,0.7368421052631579,0.6363636363636364
