epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.04,1.667,,,,,
0.08,0.4899,,,,,
0.11,0.4399,,,,,
0.15,0.3576,,,,,
0.19,0.3106,,,,,
0.23,0.2982,,,,,
0.27,0.2979,,,,,
0.3,0.271,,,,,
0.34,0.2358,,,,,
0.38,0.2201,,,,,
0.42,0.2464,,,,,
0.46,0.2247,,,,,
0.5,0.238,,,,,
0.53,0.2141,,,,,
0.57,0.2021,,,,,
0.61,0.1863,,,,,
0.65,0.2205,,,,,
0.69,0.1808,,,,,
0.72,0.1952,,,,,
0.76,0.1967,,,,,
0.8,0.1675,,,,,
0.84,0.198,,,,,
0.88,0.169,,,,,
0.91,0.2063,,,,,
0.95,0.1985,,,,,
0.99,0.186,,,,,
1.0,,0.29264143109321594,0.2713633398564905,0.3655536028119508,0.3114938225383751,0.9165090436221776
1.03,0.1581,,,,,
1.07,0.1412,,,,,
1.1,0.1414,,,,,
1.14,0.1382,,,,,
1.18,0.1599,,,,,
1.22,0.1503,,,,,
1.26,0.147,,,,,
1.3,0.141,,,,,
1.33,0.1432,,,,,
1.37,0.132,,,,,
1.41,0.1452,,,,,
1.45,0.134,,,,,
1.49,0.1506,,,,,
1.52,0.1473,,,,,
1.56,0.1284,,,,,
1.6,0.151,,,,,
1.64,0.1456,,,,,
1.68,0.154,,,,,
1.71,0.126,,,,,
1.75,0.1242,,,,,
1.79,0.1607,,,,,
1.83,0.1281,,,,,
1.87,0.1236,,,,,
1.9,0.128,,,,,
1.94,0.1381,,,,,
1.98,0.1144,,,,,
2.0,,0.28516602516174316,0.34410019775873435,0.45869947275922673,0.39322033898305087,0.9228632226031446
2.02,0.1104,,,,,
2.06,0.0858,,,,,
2.1,0.0961,,,,,
2.13,0.1045,,,,,
2.17,0.1129,,,,,
2.21,0.0977,,,,,
2.25,0.0847,,,,,
2.29,0.1048,,,,,
2.32,0.1182,,,,,
2.36,0.1133,,,,,
2.4,0.0958,,,,,
2.44,0.0815,,,,,
2.48,0.1044,,,,,
2.51,0.0967,,,,,
2.55,0.1153,,,,,
2.59,0.1202,,,,,
2.63,0.101,,,,,
2.67,0.1117,,,,,
2.7,0.1048,,,,,
2.74,0.0845,,,,,
2.78,0.089,,,,,
2.82,0.0964,,,,,
2.86,0.1109,,,,,
2.9,0.0982,,,,,
2.93,0.0679,,,,,
2.97,0.0881,,,,,
3.0,,0.2908899486064911,0.37788663400979705,0.47451669595782076,0.4207245812232178,0.9258186546873153
3.01,0.11,,,,,
3.05,0.065,,,,,
3.09,0.0594,,,,,
3.12,0.0812,,,,,
3.16,0.067,,,,,
3.2,0.0807,,,,,
3.24,0.0702,,,,,
3.28,0.0681,,,,,
3.31,0.0661,,,,,
3.35,0.09,,,,,
3.39,0.0934,,,,,
3.43,0.0687,,,,,
3.47,0.087,,,,,
3.5,0.0594,,,,,
3.54,0.061,,,,,
3.58,0.0626,,,,,
3.62,0.0727,,,,,
3.66,0.0642,,,,,
3.7,0.0749,,,,,
3.73,0.0553,,,,,
3.77,0.0798,,,,,
3.81,0.0645,,,,,
3.85,0.0795,,,,,
3.89,0.0875,,,,,
3.92,0.0697,,,,,
3.96,0.0578,,,,,
4.0,0.0721,0.3072037398815155,0.43805309734513276,0.5219683655536028,0.47634322373696875,0.9317295188556567
4.04,0.0576,,,,,
4.08,0.0459,,,,,
4.11,0.0428,,,,,
4.15,0.0462,,,,,
4.19,0.0474,,,,,
4.23,0.0596,,,,,
4.27,0.0477,,,,,
4.3,0.0583,,,,,
4.34,0.0475,,,,,
4.38,0.0511,,,,,
4.42,0.0511,,,,,
4.46,0.0564,,,,,
4.5,0.0472,,,,,
4.53,0.0666,,,,,
4.57,0.0454,,,,,
4.61,0.0446,,,,,
4.65,0.0582,,,,,
4.69,0.0472,,,,,
4.72,0.0581,,,,,
4.76,0.0512,,,,,
4.8,0.0471,,,,,
4.84,0.0481,,,,,
4.88,0.0452,,,,,
4.91,0.0516,,,,,
4.95,0.0408,,,,,
4.99,0.0492,,,,,
5.0,,0.2909255027770996,0.43644379132990446,0.5219683655536028,0.47539015606242496,0.9324979311975411
5.03,0.0362,,,,,
5.07,0.041,,,,,
5.1,0.0282,,,,,
5.14,0.0348,,,,,
5.18,0.0353,,,,,
5.22,0.0383,,,,,
5.26,0.0442,,,,,
