entity,precision,recall,f1,support
aeroway,0.3333333333333333,0.3076923076923077,0.32,13
amenity,0.32653061224489793,0.4444444444444444,0.3764705882352941,108
boundary,0.6463195691202872,0.694980694980695,0.6697674418604651,1036
bridge,0.0,0.0,0.0,1
building,0.5416666666666666,0.5909090909090909,0.5652173913043478,44
club,0.0,0.0,0.0,0
healthcare,0.0,0.0,0.0,1
highway,0.6469500924214417,0.7306889352818372,0.6862745098039216,479
historic,0.0,0.0,0.0,3
junction,0.0,0.0,0.0,1
landuse,0.16666666666666666,0.15789473684210525,0.16216216216216214,19
leisure,0.5294117647058824,0.6,0.5625,45
man_made,0.2,0.16666666666666666,0.1818181818181818,6
natural,0.53125,0.5396825396825397,0.5354330708661418,63
office,0.0,0.0,0.0,3
place,0.3333333333333333,0.4375,0.37837837837837834,304
railway,0.2727272727272727,0.75,0.39999999999999997,4
shop,0.38461538461538464,0.2777777777777778,0.3225806451612903,18
tourism,0.2631578947368421,0.3125,0.2857142857142857,16
tunnel,0.0,0.0,0.0,1
waterway,0.5789473684210527,0.6962025316455697,0.632183908045977,79
