epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.04,1.8371,,,,,
0.08,0.6224,,,,,
0.13,0.4813,,,,,
0.17,0.4158,,,,,
0.21,0.407,,,,,
0.25,0.4106,,,,,
0.3,0.3761,,,,,
0.34,0.3427,,,,,
0.38,0.3233,,,,,
0.42,0.306,,,,,
0.47,0.3006,,,,,
0.51,0.2987,,,,,
0.55,0.3069,,,,,
0.59,0.2858,,,,,
0.64,0.2638,,,,,
0.68,0.2794,,,,,
0.72,0.2414,,,,,
0.76,0.2736,,,,,
0.81,0.2411,,,,,
0.85,0.2484,,,,,
0.89,0.2462,,,,,
0.93,0.2163,,,,,
0.98,0.2234,,,,,
1.0,,0.26063477993011475,0.3678943154523619,0.4060980998674326,0.3860533501365259,0.9265659720136928
1.02,0.2129,,,,,
1.06,0.2025,,,,,
1.1,0.2033,,,,,
1.15,0.2341,,,,,
1.19,0.1635,,,,,
1.23,0.1926,,,,,
1.27,0.1772,,,,,
1.31,0.1817,,,,,
1.36,0.1844,,,,,
1.4,0.183,,,,,
1.44,0.1622,,,,,
1.48,0.1878,,,,,
1.53,0.1721,,,,,
1.57,0.1868,,,,,
1.61,0.1726,,,,,
1.65,0.1651,,,,,
1.7,0.1887,,,,,
1.74,0.2061,,,,,
1.78,0.1704,,,,,
1.82,0.1936,,,,,
1.87,0.1746,,,,,
1.91,0.1822,,,,,
1.95,0.1786,,,,,
1.99,0.2052,,,,,
2.0,,0.22958260774612427,0.42760436254230916,0.5024304021210783,0.4620073140999594,0.9354843552939763
2.04,0.1365,,,,,
2.08,0.1196,,,,,
2.12,0.1167,,,,,
2.16,0.1398,,,,,
2.21,0.1167,,,,,
2.25,0.1374,,,,,
2.29,0.1149,,,,,
2.33,0.122,,,,,
2.38,0.1756,,,,,
2.42,0.1288,,,,,
2.46,0.1443,,,,,
2.5,0.1252,,,,,
2.55,0.1373,,,,,
2.59,0.1194,,,,,
2.63,0.1287,,,,,
2.67,0.1421,,,,,
2.71,0.1349,,,,,
2.76,0.1196,,,,,
2.8,0.1325,,,,,
2.84,0.1363,,,,,
2.88,0.1299,,,,,
2.93,0.1262,,,,,
2.97,0.1384,,,,,
3.0,,0.24025137722492218,0.46389824167601945,0.547945205479452,0.5024311183144247,0.9401237162933157
3.01,0.117,,,,,
3.05,0.0806,,,,,
3.1,0.1152,,,,,
3.14,0.0991,,,,,
3.18,0.0844,,,,,
3.22,0.1022,,,,,
3.27,0.0809,,,,,
3.31,0.0901,,,,,
3.35,0.0967,,,,,
3.39,0.1164,,,,,
3.44,0.0851,,,,,
3.48,0.0958,,,,,
3.52,0.0869,,,,,
3.56,0.1008,,,,,
3.61,0.1074,,,,,
3.65,0.082,,,,,
3.69,0.094,,,,,
3.73,0.081,,,,,
3.78,0.0796,,,,,
3.82,0.0862,,,,,
3.86,0.103,,,,,
3.9,0.09,,,,,
3.94,0.1005,,,,,
3.99,0.0977,,,,,
4.0,,0.2496018409729004,0.479773156899811,0.5607600530269554,0.5171149144254279,0.9394931235361239
4.03,0.0824,,,,,
4.07,0.0682,,,,,
4.11,0.0541,,,,,
4.16,0.0738,,,,,
4.2,0.0646,,,,,
4.24,0.0629,,,,,
4.28,0.0688,,,,,
4.33,0.084,,,,,
4.37,0.0712,,,,,
4.41,0.0652,,,,,
4.45,0.0684,,,,,
4.5,0.0666,,,,,
4.54,0.076,,,,,
4.58,0.0577,,,,,
4.62,0.0774,,,,,
4.67,0.074,,,,,
4.71,0.068,,,,,
4.75,0.0566,,,,,
4.79,0.057,,,,,
4.84,0.0636,,,,,
4.88,0.0615,,,,,
4.92,0.0691,,,,,
4.96,0.049,,,,,
5.0,,0.27429717779159546,0.48201174743024966,0.5802032699955811,0.5265690796069783,0.9395982223289893
5.01,0.0653,,,,,
5.05,0.0464,,,,,
5.09,0.0544,,,,,
5.13,0.057,,,,,
5.17,0.0454,,,,,
5.22,0.038,,,,,
5.26,0.0525,,,,,
5.3,0.0434,,,,,
5.34,0.0528,,,,,
5.39,0.0491,,,,,
5.43,0.0544,,,,,
5.47,0.0461,,,,,
5.51,0.0429,,,,,
5.56,0.055,,,,,
5.6,0.0448,,,,,
5.64,0.043,,,,,
5.68,0.0479,,,,,
5.73,0.0502,,,,,
5.77,0.0418,,,,,
5.81,0.0359,,,,,
5.85,0.0525,,,,,
5.9,0.0531,,,,,
5.94,0.0545,,,,,
5.98,0.0585,,,,,
6.0,,0.2819724678993225,0.49168207024029575,0.5877154220061864,0.5354267310789049,0.9398084199147199
6.02,0.0377,,,,,
6.07,0.035,,,,,
6.11,0.033,,,,,
6.15,0.0453,,,,,
6.19,0.0337,,,,,
6.24,0.0369,,,,,
6.28,0.0386,,,,,
6.32,0.035,,,,,
6.36,0.0359,,,,,
6.41,0.0403,,,,,
6.45,0.0296,,,,,
6.49,0.0344,,,,,
6.53,0.0428,,,,,
6.57,0.0431,,,,,
6.62,0.0415,,,,,
6.66,0.0293,,,,,
6.7,0.0336,,,,,
6.74,0.0328,,,,,
