entity,precision,recall,f1
aeroway,0.14285714285714285,0.25,0.18181818181818182
amenity,0.3220338983050847,0.4222222222222222,0.36538461538461536
boundary,0.5664939550949913,0.640625,0.6012832263978001
bridge,0.0,0.0,0.0
building,0.5384615384615384,0.5384615384615384,0.5384615384615384
highway,0.5567010309278351,0.6352941176470588,0.5934065934065934
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.25,0.2857142857142857,0.26666666666666666
leisure,0.39285714285714285,0.5,0.44
man_made,0.3333333333333333,0.5,0.4
natural,0.46875,0.5,0.4838709677419355
office,0.0,0.0,0.0
place,0.2716049382716049,0.4125,0.32754342431761785
railway,0.4,0.5,0.4444444444444445
shop,0.1111111111111111,0.2,0.14285714285714285
tourism,0.0,0.0,0.0
waterway,0.6304347826086957,0.7631578947368421,0.6904761904761905
