entity,precision,recall,f1,support
aeroway,0.46153846153846156,0.8571428571428571,0.6,7
amenity,0.3018867924528302,0.32,0.3106796116504854,50
boundary,0.6365461847389559,0.6604166666666667,0.6482617586912065,480
bridge,0.0,0.0,0.0,2
building,0.35,0.3684210526315789,0.358974358974359,19
highway,0.6138613861386139,0.6739130434782609,0.6424870466321244,276
historic,0.0,0.0,0.0,1
landuse,0.2727272727272727,0.375,0.3157894736842105,8
leisure,0.45454545454545453,0.625,0.5263157894736842,24
man_made,0.0,0.0,0.0,2
military,0.0,0.0,0.0,1
natural,0.3,0.391304347826087,0.33962264150943394,23
office,0.0,0.0,0.0,3
place,0.319634703196347,0.44025157232704404,0.3703703703703704,159
railway,0.0,0.0,0.0,4
shop,0.16666666666666666,0.09090909090909091,0.11764705882352942,11
tourism,0.3333333333333333,0.4,0.3636363636363636,5
waterway,0.49206349206349204,0.6326530612244898,0.5535714285714285,49
