entity,precision,recall,f1
aeroway,0.4117647058823529,0.6363636363636364,0.5
amenity,0.37593984962406013,0.5813953488372093,0.4566210045662101
boundary,0.6517543859649123,0.7227626459143969,0.6854243542435424
bridge,0.0,0.0,0.0
building,0.5581395348837209,0.5853658536585366,0.5714285714285714
club,0.0,0.0,0.0
highway,0.6563706563706564,0.7010309278350515,0.6779661016949152
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.13333333333333333,0.11764705882352941,0.125
leisure,0.5818181818181818,0.64,0.6095238095238096
man_made,0.14285714285714285,0.5,0.22222222222222224
military,0.0,0.0,0.0
natural,0.5576923076923077,0.58,0.5686274509803922
office,0.0,0.0,0.0
place,0.4397905759162304,0.49122807017543857,0.46408839779005523
railway,0.3333333333333333,0.5,0.4
shop,0.21052631578947367,0.21052631578947367,0.21052631578947367
tourism,0.22727272727272727,0.35714285714285715,0.2777777777777778
waterway,0.6938775510204082,0.7727272727272727,0.7311827956989247
