label,precision,recall,f1-score,support
location,0.5857940941739824,0.6771217712177122,0.6281557552417629,1084
micro avg,0.5857940941739824,0.6771217712177122,0.6281557552417629,1084
macro avg,0.5857940941739824,0.6771217712177122,0.6281557552417629,1084
weighted avg,0.5857940941739824,0.6771217712177122,0.6281557552417629,1084
