epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
1.0,278,0.1585361212491989,0.4696464309539693,0.6006825938566553,0.5271433919880194,0.9427470575840583
2.0,557,0.19544294476509094,0.5195996663886572,0.5315699658703071,0.5255166596372839,0.945877607537401
3.0,836,0.1758677065372467,0.581377151799687,0.6339590443686007,0.606530612244898,0.9506035339092742
4.0,1115,0.22624103724956512,0.6097560975609756,0.6399317406143344,0.6244796003330558,0.9535534752114626
5.0,1393,0.21680980920791626,0.594059405940594,0.6655290102389079,0.6277665995975855,0.9531922579091539
6.0,1672,0.23670509457588196,0.6035276073619632,0.6715017064846417,0.635702746365105,0.9541555040486439
7.0,1951,0.27048423886299133,0.6303680981595092,0.7013651877133106,0.6639741518578351,0.9547274314439662
8.0,2230,0.29723402857780457,0.6237234878240377,0.6774744027303754,0.6494887525562373,0.953764185304476
9.0,2508,0.30917033553123474,0.6277089783281734,0.6919795221843004,0.6582792207792207,0.9541555040486439
10.0,2787,0.30171146988868713,0.6301476301476302,0.6919795221843004,0.659617730784872,0.954667228560248
