entity,precision,recall,f1,support
aeroway,0.5714285714285714,0.6666666666666666,0.6153846153846153,12
amenity,0.375,0.4752475247524752,0.4192139737991266,101
boundary,0.6681776971894833,0.7392176529588766,0.701904761904762,997
bridge,0.0,0.0,0.0,4
building,0.47368421052631576,0.5294117647058824,0.5,34
highway,0.6118421052631579,0.6940298507462687,0.6503496503496503,536
junction,0.0,0.0,0.0,1
landuse,0.25,0.2222222222222222,0.23529411764705882,18
leisure,0.5,0.36363636363636365,0.4210526315789474,44
man_made,0.1111111111111111,0.5,0.1818181818181818,2
military,0.0,0.0,0.0,1
natural,0.6181818181818182,0.6181818181818182,0.6181818181818182,55
office,0.14285714285714285,0.2,0.16666666666666666,5
place,0.3700980392156863,0.5101351351351351,0.4289772727272727,296
railway,0.375,0.3,0.33333333333333326,10
shop,0.25,0.5,0.3333333333333333,14
tourism,0.35714285714285715,0.38461538461538464,0.3703703703703704,13
waterway,0.6836734693877551,0.7528089887640449,0.716577540106952,89
