entity,precision,recall,f1,support
aeroway,0.5714285714285714,0.6666666666666666,0.6153846153846153,12
amenity,0.3656716417910448,0.48514851485148514,0.41702127659574467,101
boundary,0.6612466124661247,0.7342026078234705,0.6958174904942966,997
bridge,0.0,0.0,0.0,4
building,0.5142857142857142,0.5294117647058824,0.5217391304347826,34
highway,0.5880452342487884,0.6791044776119403,0.6303030303030304,536
junction,0.0,0.0,0.0,1
landuse,0.3888888888888889,0.3888888888888889,0.3888888888888889,18
leisure,0.43902439024390244,0.4090909090909091,0.42352941176470593,44
man_made,0.14285714285714285,0.5,0.22222222222222224,2
military,0.0,0.0,0.0,1
natural,0.5555555555555556,0.6363636363636364,0.5932203389830508,55
office,0.1111111111111111,0.2,0.14285714285714285,5
place,0.36243386243386244,0.46283783783783783,0.4065281899109792,296
railway,0.375,0.3,0.33333333333333326,10
shop,0.2916666666666667,0.5,0.3684210526315789,14
tourism,0.2777777777777778,0.38461538461538464,0.3225806451612903,13
waterway,0.6631578947368421,0.7078651685393258,0.6847826086956521,89
