epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.02,1.8392,,,,,
0.04,0.5333,,,,,
0.06,0.4642,,,,,
0.08,0.371,,,,,
0.1,0.372,,,,,
0.12,0.3731,,,,,
0.14,0.287,,,,,
0.17,0.3158,,,,,
0.19,0.2884,,,,,
0.21,0.2952,,,,,
0.23,0.2574,,,,,
0.25,0.2996,,,,,
0.27,0.2083,,,,,
0.29,0.2277,,,,,
0.31,0.2496,,,,,
0.33,0.2576,,,,,
0.35,0.2183,,,,,
0.37,0.1869,,,,,
0.39,0.2118,,,,,
0.41,0.2599,,,,,
0.43,0.2482,,,,,
0.45,0.2101,,,,,
0.48,0.2316,,,,,
0.5,0.2124,,,,,
0.52,0.2503,,,,,
0.54,0.1883,,,,,
0.56,0.1795,,,,,
0.58,0.2499,,,,,
0.6,0.2141,,,,,
0.62,0.1648,,,,,
0.64,0.1739,,,,,
0.66,0.202,,,,,
0.68,0.1839,,,,,
0.7,0.2106,,,,,
0.72,0.176,,,,,
0.74,0.1896,,,,,
0.76,0.1294,,,,,
0.79,0.1972,,,,,
0.81,0.203,,,,,
0.83,0.2187,,,,,
0.85,0.1832,,,,,
0.87,0.2149,,,,,
0.89,0.1816,,,,,
0.91,0.1676,,,,,
0.93,0.192,,,,,
0.95,0.1426,,,,,
0.97,0.1951,,,,,
0.99,0.1492,,,,,
1.0,,0.25321730971336365,0.3797043010752688,0.4938811188811189,0.42933130699088146,0.9312353603261034
1.01,0.1411,,,,,
1.03,0.13,,,,,
1.05,0.1095,,,,,
1.07,0.1915,,,,,
1.1,0.1205,,,,,
1.12,0.1421,,,,,
1.14,0.145,,,,,
1.16,0.1391,,,,,
1.18,0.1591,,,,,
1.2,0.145,,,,,
1.22,0.1064,,,,,
1.24,0.1509,,,,,
1.26,0.14,,,,,
1.28,0.123,,,,,
1.3,0.1572,,,,,
1.32,0.1186,,,,,
1.34,0.1284,,,,,
1.36,0.147,,,,,
1.39,0.1236,,,,,
1.41,0.1342,,,,,
1.43,0.1692,,,,,
1.45,0.1316,,,,,
1.47,0.1241,,,,,
1.49,0.109,,,,,
1.51,0.1763,,,,,
1.53,0.162,,,,,
1.55,0.1165,,,,,
1.57,0.1295,,,,,
1.59,0.1404,,,,,
1.61,0.1168,,,,,
1.63,0.1348,,,,,
1.65,0.12,,,,,
1.67,0.1238,,,,,
1.7,0.0921,,,,,
1.72,0.1336,,,,,
1.74,0.1142,,,,,
1.76,0.1309,,,,,
1.78,0.1379,,,,,
1.8,0.184,,,,,
1.82,0.1004,,,,,
1.84,0.1157,,,,,
1.86,0.1255,,,,,
1.88,0.1038,,,,,
1.9,0.1243,,,,,
1.92,0.1011,,,,,
1.94,0.1443,,,,,
1.96,0.1239,,,,,
1.98,0.1155,,,,,
2.0,,0.2198878824710846,0.47832422586520945,0.5738636363636364,0.5217564077091198,0.9388099656252852
2.01,0.1117,,,,,
2.03,0.139,,,,,
2.05,0.1019,,,,,
2.07,0.0857,,,,,
2.09,0.0938,,,,,
2.11,0.0753,,,,,
2.13,0.0995,,,,,
2.15,0.0753,,,,,
2.17,0.0888,,,,,
2.19,0.0852,,,,,
2.21,0.0766,,,,,
2.23,0.0999,,,,,
2.25,0.0829,,,,,
2.27,0.0748,,,,,
2.29,0.1019,,,,,
2.32,0.1074,,,,,
2.34,0.0881,,,,,
2.36,0.0583,,,,,
2.38,0.0703,,,,,
2.4,0.1184,,,,,
2.42,0.1084,,,,,
2.44,0.0795,,,,,
