best_epoch_by_valid_f1_curve_only,best_valid_f1_from_curve_only,note,train_time_sec,train_loss,train_precision,train_recall,train_f1,train_accuracy,valid_loss,valid_precision,valid_recall,valid_f1,valid_accuracy,test_loss,test_precision,test_recall,test_f1,test_accuracy,dlr_ratio,syn_ratio,sample_seed,dlr_total_used,train_real_size,valid_size,test_size,syn_total_used,train_final_size
19.98,0.6709456568249892,No checkpoint saved. Final epoch model was evaluated.,2299.3693861961365,8.762996003497392e-06,1.0,1.0,1.0,1.0,0.3637564778327942,0.6426229508196721,0.7018800358102059,0.6709456568249892,0.9578329571106095,0.3932742774486542,0.6703577512776832,0.6976950354609929,0.68375325803649,0.958037914980373,0.5,0.3,110,3717,2230,743,744,3279,5509
19.98,0.7220708446866486,No checkpoint saved. Final epoch model was evaluated.,2296.0589516162872,3.5788991226581857e-05,0.9998400511836213,0.9998400511836213,0.9998400511836213,0.9999864300980426,0.31115493178367615,0.6961471103327496,0.75,0.7220708446866486,0.9650699473577058,0.3364640474319458,0.6698194325021496,0.7140238313473877,0.6912156166814551,0.9619908161753814,0.5,0.3,220,3717,2230,743,744,3279,5509
18.0,0.6908103214124038,No checkpoint saved. Final epoch model was evaluated.,2299.615648508072,2.593751923996024e-05,0.9998401023345059,1.0,0.999920044774926,0.999989949479383,0.3295160233974457,0.6658053402239449,0.7170686456400742,0.6904868244752121,0.9623939878670812,0.35167258977890015,0.670843776106934,0.7313296903460837,0.6997821350762526,0.9593825665859564,0.5,0.3,500,3717,2230,743,744,3279,5509
19.98,0.6923728813559322,No checkpoint saved. Final epoch model was evaluated.,2296.4175522327423,5.151151526661124e-06,1.0,1.0,1.0,1.0,0.3758023977279663,0.669672131147541,0.7166666666666667,0.6923728813559322,0.9586020698965052,0.3304585814476013,0.6578723404255319,0.7164040778498609,0.6858917480035492,0.9626800396524579,0.5,0.3,600,3717,2230,743,744,3279,5509
19.98,0.7078007933010136,No checkpoint saved. Final epoch model was evaluated.,2292.799662590027,1.0455043593537994e-05,1.0,1.0,1.0,1.0,0.339820921421051,0.6851535836177475,0.731996353691887,0.7078007933010136,0.9628194970214514,0.34492766857147217,0.6675105485232068,0.7236962488563586,0.6944688323090431,0.9596023688663282,0.5,0.3,800,3717,2230,743,744,3279,5509
17.0,0.7094170403587443,No checkpoint saved. Final epoch model was evaluated.,2298.7946021556854,5.125088591739768e-06,1.0,1.0,1.0,1.0,0.32870951294898987,0.6786324786324787,0.7365491651205937,0.706405693950178,0.961919176630846,0.38147595524787903,0.6444818871103623,0.7089898053753475,0.675198587819947,0.956853536835926,0.5,0.3,1500,3717,2230,743,744,3279,5509
19.0,0.7011784511784512,No checkpoint saved. Final epoch model was evaluated.,3630.5133073329926,3.0473192964564078e-06,1.0,1.0,1.0,1.0,0.37192121148109436,0.6696284329563813,0.7233856893542757,0.6954697986577181,0.9601725854629937,0.37354332208633423,0.6627218934911243,0.7293023255813953,0.6944198405668733,0.9592297956969806,0.5,0.6,11,3717,2230,743,744,6558,8788
19.0,0.715660542432196,No checkpoint saved. Final epoch model was evaluated.,3697.69358420372,3.6464869481278583e-05,0.9997823958219998,0.9996736292428199,0.999728009574063,0.9999837743334293,0.3418022692203522,0.6741854636591479,0.75,0.7100747910250769,0.9633049744164219,0.34257760643959045,0.676818950930626,0.7421150278293135,0.7079646017699115,0.9633223190147191,0.5,0.6,55,3717,2230,743,744,6558,8788
19.0,0.6751592356687898,No checkpoint saved. Final epoch model was evaluated.,3759.2023038864136,3.1539493647869676e-06,1.0,1.0,1.0,1.0,0.38272756338119507,0.6388663967611335,0.7063563115487914,0.6709183673469387,0.9572009029345373,0.39071717858314514,0.6714165968147527,0.7101063829787234,0.6902197328737614,0.9601071113410218,0.5,0.6,110,3717,2230,743,744,6558,8788
19.0,0.7311729803742583,No checkpoint saved. Final epoch model was evaluated.,3789.202390193939,2.355586548219435e-05,0.9997827739763223,0.9997827739763223,0.9997827739763223,0.9999938880784933,0.3088753819465637,0.706972639011474,0.7556603773584906,0.7305061559507524,0.9675420992932554,0.3785342872142792,0.6841186736474695,0.7186067827681026,0.7009387572641931,0.9611316841949341,0.5,0.6,220,3717,2230,743,744,6558,8788
