epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.04,1.7446,,,,,
0.08,0.573,,,,,
0.13,0.4709,,,,,
0.17,0.4208,,,,,
0.21,0.4183,,,,,
0.25,0.357,,,,,
0.3,0.3675,,,,,
0.34,0.3108,,,,,
0.38,0.3352,,,,,
0.42,0.3025,,,,,
0.47,0.2489,,,,,
0.51,0.2915,,,,,
0.55,0.2643,,,,,
0.59,0.264,,,,,
0.64,0.2467,,,,,
0.68,0.2822,,,,,
0.72,0.2365,,,,,
0.76,0.2526,,,,,
0.81,0.2408,,,,,
0.85,0.2543,,,,,
0.89,0.2225,,,,,
0.93,0.2359,,,,,
0.98,0.2381,,,,,
1.0,,0.27176111936569214,0.34446074834922963,0.4190093708165997,0.37809542983692374,0.9212644105615471
1.02,0.2135,,,,,
1.06,0.1636,,,,,
1.1,0.2086,,,,,
1.15,0.1577,,,,,
1.19,0.1766,,,,,
1.23,0.1777,,,,,
1.27,0.1709,,,,,
1.31,0.1852,,,,,
1.36,0.1789,,,,,
1.4,0.1693,,,,,
1.44,0.1845,,,,,
1.48,0.1695,,,,,
1.53,0.1673,,,,,
1.57,0.1811,,,,,
1.61,0.1835,,,,,
1.65,0.182,,,,,
1.7,0.1735,,,,,
1.74,0.186,,,,,
1.78,0.211,,,,,
1.82,0.1624,,,,,
1.87,0.1602,,,,,
1.91,0.1892,,,,,
1.95,0.1666,,,,,
1.99,0.199,,,,,
2.0,,0.2377711534500122,0.4142244460328806,0.5171798304328424,0.4600119071244294,0.9318705838601711
2.04,0.1412,,,,,
2.08,0.1432,,,,,
2.12,0.1595,,,,,
2.16,0.1458,,,,,
2.21,0.12,,,,,
2.25,0.1264,,,,,
2.29,0.1367,,,,,
2.33,0.1371,,,,,
2.38,0.1248,,,,,
2.42,0.1258,,,,,
2.46,0.1328,,,,,
2.5,0.1139,,,,,
2.55,0.1374,,,,,
2.59,0.1114,,,,,
2.63,0.1218,,,,,
2.67,0.1801,,,,,
2.71,0.128,,,,,
2.76,0.1179,,,,,
2.8,0.1068,,,,,
2.84,0.1274,,,,,
2.88,0.129,,,,,
2.93,0.1209,,,,,
2.97,0.1114,,,,,
3.0,,0.2430584877729416,0.45881910492666417,0.5443998215082553,0.4979591836734694,0.9373893640758646
3.01,0.1024,,,,,
3.05,0.094,,,,,
3.1,0.0914,,,,,
3.14,0.0868,,,,,
3.18,0.0962,,,,,
3.22,0.0731,,,,,
3.27,0.0995,,,,,
3.31,0.091,,,,,
3.35,0.1047,,,,,
3.39,0.1041,,,,,
3.44,0.1099,,,,,
3.48,0.0934,,,,,
3.52,0.0801,,,,,
3.56,0.0757,,,,,
3.61,0.0725,,,,,
3.65,0.0872,,,,,
3.69,0.1057,,,,,
3.73,0.0867,,,,,
3.78,0.0967,,,,,
3.82,0.1026,,,,,
3.86,0.1099,,,,,
3.9,0.0801,,,,,
3.94,0.0918,,,,,
3.99,0.1049,,,,,
4.0,,0.24705897271633148,0.477109345440787,0.5626952253458277,0.5163800163800164,0.9380885087393083
4.03,0.0802,,,,,
4.07,0.0651,,,,,
4.11,0.0842,,,,,
4.16,0.0663,,,,,
4.2,0.0606,,,,,
4.24,0.0652,,,,,
4.28,0.0771,,,,,
4.33,0.0743,,,,,
4.37,0.0586,,,,,
4.41,0.071,,,,,
4.45,0.0612,,,,,
4.5,0.0726,,,,,
4.54,0.0641,,,,,
4.58,0.0672,,,,,
4.62,0.0706,,,,,
4.67,0.0762,,,,,
4.71,0.0555,,,,,
4.75,0.0706,,,,,
4.79,0.0654,,,,,
4.84,0.0681,,,,,
4.88,0.0716,,,,,
4.92,0.0577,,,,,
4.96,0.0904,,,,,
5.0,,0.25584250688552856,0.49440370513315324,0.571619812583668,0.5302152317880795,0.9390554109334325
5.01,0.0867,,,,,
5.05,0.0537,,,,,
5.09,0.0542,,,,,
5.13,0.0463,,,,,
5.17,0.0474,,,,,
5.22,0.0559,,,,,
5.26,0.0474,,,,,
5.3,0.0452,,,,,
5.34,0.056,,,,,
5.39,0.0465,,,,,
5.43,0.047,,,,,
5.47,0.0513,,,,,
5.51,0.0436,,,,,
5.56,0.0505,,,,,
5.6,0.0469,,,,,
5.64,0.0381,,,,,
5.68,0.0575,,,,,
5.73,0.0415,,,,,
5.77,0.0454,,,,,
5.81,0.0532,,,,,
5.85,0.0476,,,,,
5.9,0.0552,,,,,
5.94,0.0563,,,,,
5.98,0.0605,,,,,
6.0,,0.2759226858615875,0.505,0.5858991521642124,0.5424499070439992,0.9417924879137226
6.02,0.0446,,,,,
6.07,0.0327,,,,,
6.11,0.0345,,,,,
6.15,0.0355,,,,,
6.19,0.0283,,,,,
6.24,0.0304,,,,,
6.28,0.0315,,,,,
6.32,0.0258,,,,,
6.36,0.0316,,,,,
6.41,0.0358,,,,,
6.45,0.0411,,,,,
6.49,0.0359,,,,,
6.53,0.0343,,,,,
6.57,0.0416,,,,,
6.62,0.0367,,,,,
6.66,0.043,,,,,
6.7,0.0305,,,,,
6.74,0.035,,,,,
6.79,0.0337,,,,,
6.83,0.0324,,,,,
6.87,0.0386,,,,,
6.91,0.0477,,,,,
6.96,0.0425,,,,,
7.0,0.036,0.2928329110145569,0.4947249434815373,0.5858991521642124,0.5364657814096017,0.9409297136481963
7.04,0.0239,,,,,
7.08,0.0216,,,,,
7.13,0.0273,,,,,
7.17,0.0287,,,,,
7.21,0.0356,,,,,
7.25,0.0255,,,,,
7.3,0.0172,,,,,
7.34,0.0308,,,,,
7.38,0.0279,,,,,
7.42,0.0204,,,,,
7.47,0.0175,,,,,
7.51,0.019,,,,,
7.55,0.0354,,,,,
