entity,precision,recall,f1,support
aeroway,0.5714285714285714,0.36363636363636365,0.4444444444444444,11
amenity,0.32727272727272727,0.34615384615384615,0.33644859813084116,52
boundary,0.6142322097378277,0.656,0.6344294003868473,500
building,0.32,0.5333333333333333,0.4,15
club,0.0,0.0,0.0,1
highway,0.5476190476190477,0.6465863453815262,0.5930018416206262,249
junction,0.0,0.0,0.0,1
landuse,0.45454545454545453,0.7142857142857143,0.5555555555555556,7
leisure,0.43478260869565216,0.6666666666666666,0.5263157894736841,15
man_made,0.5,0.3333333333333333,0.4,3
natural,0.4722222222222222,0.5862068965517241,0.523076923076923,29
office,0.0,0.0,0.0,1
place,0.29896907216494845,0.3558282208588957,0.32492997198879553,163
railway,0.25,0.3333333333333333,0.28571428571428575,3
shop,0.2222222222222222,0.25,0.23529411764705882,8
tourism,0.2857142857142857,0.3333333333333333,0.30769230769230765,6
waterway,0.5111111111111111,0.6052631578947368,0.5542168674698796,38
