entity,precision,recall,f1
aeroway,0.5,0.7272727272727273,0.5925925925925926
amenity,0.312,0.45348837209302323,0.3696682464454977
boundary,0.6173469387755102,0.7062256809338522,0.6588021778584391
bridge,0.0,0.0,0.0
building,0.5,0.4634146341463415,0.48101265822784817
club,0.0,0.0,0.0
highway,0.588339222614841,0.6865979381443299,0.6336822074215033
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.13333333333333333,0.11764705882352941,0.125
leisure,0.46808510638297873,0.44,0.4536082474226804
man_made,0.25,0.5,0.3333333333333333
military,0.0,0.0,0.0
natural,0.5952380952380952,0.5,0.5434782608695652
office,0.0,0.0,0.0
place,0.4395973154362416,0.3830409356725146,0.409375
railway,0.125,0.25,0.16666666666666666
shop,0.375,0.3157894736842105,0.34285714285714286
tourism,0.11428571428571428,0.2857142857142857,0.16326530612244897
waterway,0.6074766355140186,0.7386363636363636,0.6666666666666667
