entity,precision,recall,f1,support
aeroway,0.46153846153846156,0.631578947368421,0.5333333333333333,19
amenity,0.36,0.4787234042553192,0.4109589041095891,94
boundary,0.651012891344383,0.7119838872104733,0.68013468013468,993
bridge,0.0,0.0,0.0,0
building,0.4358974358974359,0.4473684210526316,0.44155844155844154,38
club,0.0,0.0,0.0,3
healthcare,0.0,0.0,0.0,1
highway,0.5721830985915493,0.6385068762278978,0.6035283194057567,509
historic,0.0,0.0,0.0,0
junction,0.0,0.0,0.0,1
landuse,0.3,0.21428571428571427,0.25,14
leisure,0.42,0.4772727272727273,0.4468085106382979,44
man_made,0.14285714285714285,1.0,0.25,1
natural,0.46774193548387094,0.6170212765957447,0.5321100917431193,47
office,0.2857142857142857,0.3333333333333333,0.30769230769230765,6
place,0.35933806146572106,0.47648902821316613,0.40970350404312667,319
railway,0.25,0.2,0.22222222222222224,10
shop,0.17647058823529413,0.3,0.22222222222222224,10
tourism,0.2608695652173913,0.3333333333333333,0.2926829268292683,18
tunnel,0.0,0.0,0.0,2
waterway,0.6428571428571429,0.7128712871287128,0.676056338028169,101
