entity,precision,recall,f1
aeroway,0.34782608695652173,0.47058823529411764,0.39999999999999997
amenity,0.3867924528301887,0.36283185840707965,0.3744292237442922
boundary,0.6072908036454018,0.7179236043095005,0.6579892280071814
bridge,0.0,0.0,0.0
building,0.4864864864864865,0.43902439024390244,0.4615384615384615
healthcare,0.0,0.0,0.0
highway,0.5636704119850188,0.6323529411764706,0.5960396039603961
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.18518518518518517,0.22727272727272727,0.20408163265306123
leisure,0.31343283582089554,0.4883720930232558,0.38181818181818183
man_made,0.6666666666666666,0.2857142857142857,0.4
natural,0.46296296296296297,0.5208333333333334,0.4901960784313726
office,0.0,0.0,0.0
place,0.35988200589970504,0.3685800604229607,0.3641791044776119
railway,0.4,0.2222222222222222,0.2857142857142857
shop,0.18181818181818182,0.16666666666666666,0.17391304347826086
tourism,0.16666666666666666,0.2,0.1818181818181818
waterway,0.6282051282051282,0.6805555555555556,0.6533333333333333
