epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
1.0,278,0.1418837308883667,0.44187836797536567,0.5415094339622641,0.48664688427299696,0.9471832010004945
2.0,557,0.1378495693206787,0.5147744945567652,0.6245283018867924,0.5643648763853367,0.9499752784806446
3.0,836,0.14867421984672546,0.5839662447257384,0.6528301886792452,0.6164810690423163,0.9568100514789285
4.0,1115,0.15844932198524475,0.6009771986970684,0.6962264150943396,0.6451048951048951,0.9574499025681296
5.0,1393,0.18826031684875488,0.6045340050377834,0.6792452830188679,0.639715681919147,0.9587586888869499
6.0,1672,0.2121644914150238,0.5982357658380112,0.7037735849056603,0.6467273515387949,0.9556757700026176
7.0,1951,0.19225972890853882,0.5936967632027257,0.6575471698113208,0.6239928379588182,0.9597475496611698
8.0,2230,0.23878158628940582,0.6168776371308017,0.689622641509434,0.6512249443207128,0.9596312130994968
9.0,2508,0.238050639629364,0.6337308347529813,0.7018867924528301,0.666069829901522,0.960154727627025
10.0,2787,0.2507360875606537,0.6266094420600858,0.6886792452830188,0.6561797752808989,0.9608527469970625
11.0,3066,0.2606171667575836,0.636675235646958,0.7009433962264151,0.6672653794342165,0.9617834394904459
12.0,3345,0.2681160569190979,0.6275337837837838,0.7009433962264151,0.6622103386809269,0.9613180932437542
13.0,3623,0.26693302392959595,0.6132231404958678,0.7,0.6537444933920705,0.960154727627025
14.0,3902,0.28130123019218445,0.6379897785349233,0.7066037735849057,0.6705461056401074,0.9614344298054271
15.0,4181,0.28578877449035645,0.6208053691275168,0.6981132075471698,0.6571936056838366,0.9607654945758078
16.0,4460,0.2889356017112732,0.6463519313304721,0.710377358490566,0.6768539325842696,0.9617252712096094
17.0,4738,0.2958137094974518,0.6386554621848739,0.7169811320754716,0.6755555555555556,0.96204519675421
18.0,5017,0.2938993573188782,0.6346313173156587,0.7226415094339622,0.6757829730921924,0.9614344298054271
19.0,5296,0.2984010577201843,0.6328382838283828,0.7235849056603774,0.6751760563380282,0.9614635139458453
19.95,5560,0.29901251196861267,0.6378018318068276,0.7226415094339622,0.6775762936753648,0.9616961870691911
