epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
6.26,0.0033,,,,,
6.29,0.0054,,,,,
6.32,0.006,,,,,
6.35,0.009,,,,,
6.38,0.0098,,,,,
6.41,0.0049,,,,,
6.44,0.0071,,,,,
6.47,0.0103,,,,,
6.5,0.005,,,,,
6.53,0.0049,,,,,
6.56,0.0064,,,,,
6.59,0.0078,,,,,
6.62,0.0114,,,,,
6.65,0.0073,,,,,
6.68,0.0068,,,,,
6.71,0.009,,,,,
6.74,0.005,,,,,
6.77,0.0064,,,,,
6.8,0.0048,,,,,
6.83,0.0069,,,,,
6.86,0.0106,,,,,
6.89,0.0066,,,,,
6.92,0.0043,,,,,
6.95,0.004,,,,,
6.98,0.0028,,,,,
7.0,,0.2288079410791397,0.6485927152317881,0.7071299638989169,0.6765975820379965,0.9608582067143114
7.01,0.0086,,,,,
7.04,0.0064,,,,,
7.07,0.0048,,,,,
7.1,0.0053,,,,,
7.13,0.0049,,,,,
7.16,0.0043,,,,,
7.19,0.0078,,,,,
7.22,0.0046,,,,,
7.25,0.0092,,,,,
7.28,0.0064,,,,,
7.31,0.0058,,,,,
7.34,0.0054,,,,,
7.37,0.0047,,,,,
7.4,0.0063,,,,,
7.43,0.0051,,,,,
7.46,0.0034,,,,,
7.49,0.0085,,,,,
7.52,0.004,,,,,
7.55,0.0073,,,,,
7.58,0.0073,,,,,
7.61,0.0075,,,,,
7.64,0.0023,,,,,
7.67,0.0046,,,,,
7.71,0.0072,,,,,
7.74,0.005,,,,,
7.77,0.0029,,,,,
7.8,0.0087,,,,,
7.83,0.0026,,,,,
7.86,0.0052,,,,,
7.89,0.0057,,,,,
7.92,0.0072,,,,,
7.95,0.0032,,,,,
7.98,0.0052,,,,,
8.0,,0.2257256954908371,0.6590150250417363,0.7125451263537906,0.6847354726799654,0.9597771905591256
8.01,0.0047,,,,,
8.04,0.002,,,,,
8.07,0.0055,,,,,
8.1,0.0022,,,,,
8.13,0.001,,,,,
8.16,0.0023,,,,,
8.19,0.0026,,,,,
8.22,0.0029,,,,,
8.25,0.0044,,,,,
8.28,0.0032,,,,,
8.31,0.0044,,,,,
8.34,0.0043,,,,,
8.37,0.0031,,,,,
8.4,0.0027,,,,,
8.43,0.0039,,,,,
8.46,0.004,,,,,
8.49,0.0023,,,,,
8.52,0.0021,,,,,
8.55,0.004,,,,,
8.58,0.0052,,,,,
8.61,0.0034,,,,,
8.64,0.0043,,,,,
8.67,0.0034,,,,,
8.7,0.0055,,,,,
8.73,0.0046,,,,,
8.76,0.005,,,,,
8.79,0.0084,,,,,
8.82,0.0053,,,,,
8.85,0.0049,,,,,
8.88,0.0033,,,,,
8.91,0.0044,,,,,
8.94,0.0033,,,,,
8.97,0.0055,,,,,
9.0,0.0032,0.2394731342792511,0.6600660066006601,0.7220216606498195,0.6896551724137931,0.961098432526575
9.03,0.0022,,,,,
9.06,0.0017,,,,,
9.09,0.0023,,,,,
9.12,0.0034,,,,,
9.15,0.0019,,,,,
9.18,0.0033,,,,,
9.21,0.0038,,,,,
9.24,0.0014,,,,,
9.27,0.0041,,,,,
9.3,0.0022,,,,,
9.33,0.0045,,,,,
9.36,0.005,,,,,
9.39,0.0014,,,,,
9.42,0.004,,,,,
9.45,0.0027,,,,,
9.48,0.0016,,,,,
9.51,0.0027,,,,,
9.54,0.0057,,,,,
9.57,0.0054,,,,,
9.6,0.0014,,,,,
9.63,0.0026,,,,,
9.66,0.0035,,,,,
9.69,0.0041,,,,,
9.72,0.0065,,,,,
9.75,0.0041,,,,,
9.78,0.0035,,,,,
9.81,0.0026,,,,,
9.84,0.0026,,,,,
9.87,0.0024,,,,,
9.9,0.0016,,,,,
