epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
1.0,557,0.13610705733299255,0.5410775697363394,0.6202365308804205,0.5779591836734694,0.9525924583031182
2.0,1115,0.12304233759641647,0.6026677445432498,0.6530880420499343,0.6268656716417911,0.9590433889291757
3.0,1672,0.12932974100112915,0.6179598267034265,0.6872536136662286,0.6507673164661966,0.9606145757795505
4.0,2230,0.1733180582523346,0.6536502546689303,0.67455102934735,0.6639361931450745,0.959889412617839
5.0,2787,0.18536458909511566,0.6659785301403799,0.7065265002190101,0.685653560042508,0.9612793086777859
6.0,3345,0.19983717799186707,0.6512539184952978,0.7279894875164258,0.6874870734229576,0.9620346869712352
7.0,3902,0.22164776921272278,0.6620498614958449,0.7328077091546211,0.6956340956340956,0.9625332366449117
8.0,4460,0.2467186450958252,0.6576433121019108,0.7236092860271572,0.689051094890511,0.9607656514382402
9.0,5017,0.2680259346961975,0.6640973630831642,0.7170389837932545,0.68955349620893,0.9618685037466763
10.0,5575,0.268790602684021,0.670941883767535,0.7332457293035479,0.7007115948095436,0.9619289340101523
11.0,6132,0.28521519899368286,0.670746150809317,0.7441962330267192,0.7055647840531561,0.9623519458544839
12.0,6690,0.3067947030067444,0.6580824088748018,0.7275514673674989,0.6910755148741418,0.9621706550640561
13.0,7247,0.28316250443458557,0.6711515631183221,0.7428821725799387,0.7051975051975052,0.9623368382886149
14.0,7805,0.30300819873809814,0.681147867676365,0.7485764345159878,0.7132721202003339,0.9636663040850858
15.0,8362,0.3032887876033783,0.670746150809317,0.7441962330267192,0.7055647840531561,0.9625030215131738
16.0,8920,0.3005627691745758,0.6808510638297872,0.7428821725799387,0.7105152911604525,0.9633339376359681
17.0,9477,0.3057537376880646,0.6790224032586558,0.73017958826106,0.7036724356268468,0.9636511965192168
