entity,precision,recall,f1,support
aeroway,0.6153846153846154,0.8,0.6956521739130435,10
amenity,0.3357142857142857,0.49473684210526314,0.4,95
boundary,0.6805293005671077,0.7086614173228346,0.6943105110896817,1016
bridge,0.0,0.0,0.0,3
building,0.5714285714285714,0.5,0.5333333333333333,48
club,0.0,0.0,0.0,0
highway,0.5924528301886792,0.6977777777777778,0.6408163265306124,450
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.20833333333333334,0.19230769230769232,0.2,26
leisure,0.34328358208955223,0.5,0.4070796460176991,46
man_made,0.3333333333333333,0.4,0.3636363636363636,5
natural,0.49056603773584906,0.5,0.49523809523809526,52
office,0.5,0.5555555555555556,0.5263157894736842,9
place,0.4253731343283582,0.5277777777777778,0.4710743801652893,324
railway,0.125,0.2,0.15384615384615385,5
shop,0.29411764705882354,0.3333333333333333,0.3125,15
tourism,0.23809523809523808,0.38461538461538464,0.2941176470588235,13
waterway,0.6,0.65625,0.626865671641791,96
