entity,precision,recall,f1
aeroway,0.16666666666666666,0.25,0.2
amenity,0.4,0.5333333333333333,0.4571428571428572
boundary,0.6095406360424028,0.673828125,0.640074211502783
bridge,0.0,0.0,0.0
building,0.7142857142857143,0.7692307692307693,0.7407407407407408
highway,0.5016077170418006,0.611764705882353,0.5512367491166078
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.2,0.14285714285714285,0.16666666666666666
leisure,0.41379310344827586,0.5454545454545454,0.47058823529411764
man_made,1.0,0.5,0.6666666666666666
natural,0.5294117647058824,0.6,0.5625
office,0.0,0.0,0.0
place,0.40106951871657753,0.46875,0.43227665706051865
railway,0.3333333333333333,0.25,0.28571428571428575
shop,0.14285714285714285,0.2,0.16666666666666666
tourism,0.0,0.0,0.0
waterway,0.6304347826086957,0.7631578947368421,0.6904761904761905
