epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.02,1.9863,,,,,
0.04,0.4669,,,,,
0.05,0.3249,,,,,
0.07,0.2893,,,,,
0.09,0.2379,,,,,
0.11,0.2095,,,,,
0.13,0.2215,,,,,
0.15,0.1941,,,,,
0.16,0.1877,,,,,
0.18,0.1333,,,,,
0.2,0.1894,,,,,
0.22,0.1922,,,,,
0.24,0.1454,,,,,
0.25,0.154,,,,,
0.27,0.1648,,,,,
0.29,0.1652,,,,,
0.31,0.1379,,,,,
0.33,0.1395,,,,,
0.35,0.1392,,,,,
0.36,0.1101,,,,,
0.38,0.1213,,,,,
0.4,0.1249,,,,,
0.42,0.124,,,,,
0.44,0.1726,,,,,
0.46,0.1377,,,,,
0.47,0.1268,,,,,
0.49,0.1232,,,,,
0.51,0.1618,,,,,
0.53,0.1286,,,,,
0.55,0.1022,,,,,
0.56,0.1122,,,,,
0.58,0.1305,,,,,
0.6,0.1414,,,,,
0.62,0.1292,,,,,
0.64,0.1049,,,,,
0.66,0.1245,,,,,
0.67,0.1203,,,,,
0.69,0.1204,,,,,
0.71,0.1167,,,,,
0.73,0.0967,,,,,
0.75,0.1159,,,,,
0.76,0.092,,,,,
0.78,0.1184,,,,,
0.8,0.0982,,,,,
0.82,0.0919,,,,,
0.84,0.0953,,,,,
0.86,0.141,,,,,
0.87,0.0798,,,,,
0.89,0.1071,,,,,
0.91,0.138,,,,,
0.93,0.1324,,,,,
0.95,0.0931,,,,,
0.96,0.13,,,,,
0.98,0.0858,,,,,
1.0,0.0812,0.28615278005599976,0.3894736842105263,0.4575971731448763,0.42079610073111284,0.9269642642281314
1.02,0.0797,,,,,
1.04,0.083,,,,,
1.06,0.1113,,,,,
1.07,0.1086,,,,,
1.09,0.0777,,,,,
1.11,0.0765,,,,,
1.13,0.1019,,,,,
1.15,0.0771,,,,,
1.17,0.0508,,,,,
1.18,0.1257,,,,,
1.2,0.0696,,,,,
1.22,0.0931,,,,,
1.24,0.0627,,,,,
1.26,0.1106,,,,,
1.27,0.0665,,,,,
1.29,0.071,,,,,
1.31,0.0806,,,,,
1.33,0.0523,,,,,
1.35,0.0668,,,,,
1.37,0.0535,,,,,
1.38,0.0816,,,,,
1.4,0.0666,,,,,
1.42,0.0819,,,,,
1.44,0.0812,,,,,
1.46,0.1022,,,,,
1.47,0.1125,,,,,
1.49,0.0618,,,,,
1.51,0.0628,,,,,
1.53,0.0925,,,,,
1.55,0.0886,,,,,
1.57,0.0595,,,,,
1.58,0.0752,,,,,
1.6,0.0724,,,,,
1.62,0.0788,,,,,
1.64,0.063,,,,,
1.66,0.0856,,,,,
1.68,0.0812,,,,,
1.69,0.071,,,,,
1.71,0.0663,,,,,
1.73,0.076,,,,,
1.75,0.101,,,,,
1.77,0.0552,,,,,
1.78,0.0684,,,,,
1.8,0.0921,,,,,
1.82,0.0682,,,,,
1.84,0.0615,,,,,
1.86,0.1116,,,,,
1.88,0.0745,,,,,
1.89,0.0752,,,,,
1.91,0.0667,,,,,
1.93,0.0986,,,,,
1.95,0.1075,,,,,
1.97,0.0684,,,,,
1.98,0.0518,,,,,
2.0,0.0798,0.276873916387558,0.41748251748251747,0.5273851590106007,0.46604215456674475,0.9304235350739983
2.02,0.0392,,,,,
2.04,0.0467,,,,,
2.06,0.039,,,,,
2.08,0.0494,,,,,
2.09,0.0643,,,,,
2.11,0.0687,,,,,
2.13,0.0826,,,,,
2.15,0.0428,,,,,
2.17,0.0616,,,,,
2.18,0.0411,,,,,
2.2,0.0542,,,,,
2.22,0.0469,,,,,
2.24,0.0411,,,,,
2.26,0.0555,,,,,
2.28,0.0635,,,,,
2.29,0.0406,,,,,
2.31,0.0468,,,,,
2.33,0.0548,,,,,
2.35,0.0535,,,,,
2.37,0.04,,,,,
2.39,0.0509,,,,,
2.4,0.0639,,,,,
2.42,0.0384,,,,,
2.44,0.0648,,,,,
2.46,0.0703,,,,,
2.48,0.056,,,,,
2.49,0.0558,,,,,
2.51,0.0405,,,,,
2.53,0.0487,,,,,
2.55,0.0604,,,,,
2.57,0.0714,,,,,
2.59,0.0556,,,,,
2.6,0.0598,,,,,
2.62,0.0325,,,,,
2.64,0.0466,,,,,
2.66,0.0519,,,,,
2.68,0.0537,,,,,
2.69,0.0423,,,,,
2.71,0.0517,,,,,
2.73,0.064,,,,,
2.75,0.0655,,,,,
2.77,0.0408,,,,,
2.79,0.0451,,,,,
2.8,0.0447,,,,,
2.82,0.0471,,,,,
2.84,0.0608,,,,,
2.86,0.0361,,,,,
2.88,0.0294,,,,,
2.89,0.0355,,,,,
2.91,0.0618,,,,,
2.93,0.0698,,,,,
2.95,0.0565,,,,,
2.97,0.0516,,,,,
2.99,0.0497,,,,,
3.0,0.0553,0.2733447253704071,0.4661949685534591,0.523851590106007,0.4933444259567387,0.9373420767657321
3.02,0.0245,,,,,
3.04,0.0332,,,,,
3.06,0.0243,,,,,
3.08,0.041,,,,,
3.1,0.0376,,,,,
3.11,0.0298,,,,,
3.13,0.0326,,,,,
3.15,0.0298,,,,,
3.17,0.038,,,,,
3.19,0.0369,,,,,
3.2,0.0323,,,,,
3.22,0.0148,,,,,
3.24,0.0218,,,,,
3.26,0.03,,,,,
3.28,0.0397,,,,,
3.3,0.0302,,,,,
3.31,0.0343,,,,,
3.33,0.0307,,,,,
3.35,0.0249,,,,,
3.37,0.0519,,,,,
3.39,0.0295,,,,,
3.4,0.0411,,,,,
3.42,0.0407,,,,,
3.44,0.033,,,,,
3.46,0.0484,,,,,
3.48,0.0332,,,,,
3.5,0.0415,,,,,
3.51,0.0385,,,,,
3.53,0.0302,,,,,
3.55,0.0216,,,,,
3.57,0.052,,,,,
3.59,0.0333,,,,,
3.6,0.0285,,,,,
3.62,0.0345,,,,,
3.64,0.0466,,,,,
3.66,0.0301,,,,,
3.68,0.0255,,,,,
3.7,0.0362,,,,,
3.71,0.0424,,,,,
3.73,0.0259,,,,,
3.75,0.0285,,,,,
3.77,0.0431,,,,,
3.79,0.0371,,,,,
3.81,0.0279,,,,,
3.82,0.0585,,,,,
3.84,0.0375,,,,,
3.86,0.0354,,,,,
3.88,0.0447,,,,,
3.9,0.0342,,,,,
3.91,0.0344,,,,,
3.93,0.0317,,,,,
3.95,0.0483,,,,,
3.97,0.0219,,,,,
3.99,0.0348,,,,,
4.0,,0.2914598882198334,0.4984375,0.5636042402826855,0.5290215588723051,0.9408915894597522
4.01,0.0289,,,,,
4.02,0.0203,,,,,
4.04,0.0202,,,,,
4.06,0.0196,,,,,
4.08,0.0228,,,,,
4.1,0.0176,,,,,
4.11,0.0257,,,,,
4.13,0.0203,,,,,
4.15,0.027,,,,,
4.17,0.0327,,,,,
4.19,0.0274,,,,,
4.21,0.0309,,,,,
4.22,0.0228,,,,,
4.24,0.0188,,,,,
4.26,0.0286,,,,,
4.28,0.0192,,,,,
4.3,0.018,,,,,
4.31,0.0205,,,,,
4.33,0.0244,,,,,
4.35,0.0334,,,,,
4.37,0.0207,,,,,
4.39,0.0281,,,,,
4.41,0.0214,,,,,
4.42,0.0237,,,,,
4.44,0.0263,,,,,
4.46,0.0284,,,,,
4.48,0.0261,,,,,
4.5,0.0225,,,,,
4.52,0.0263,,,,,
4.53,0.028,,,,,
4.55,0.0213,,,,,
4.57,0.0223,,,,,
4.59,0.0223,,,,,
4.61,0.0193,,,,,
4.62,0.0263,,,,,
4.64,0.0267,,,,,
4.66,0.0201,,,,,
4.68,0.0331,,,,,
4.7,0.0295,,,,,
4.72,0.0198,,,,,
