epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.04,1.915,,,,,
0.07,0.7598,,,,,
0.11,0.6282,,,,,
0.14,0.4907,,,,,
0.18,0.4994,,,,,
0.22,0.4334,,,,,
0.25,0.4265,,,,,
0.29,0.3555,,,,,
0.32,0.4371,,,,,
0.36,0.392,,,,,
0.39,0.3803,,,,,
0.43,0.3573,,,,,
0.47,0.4127,,,,,
0.5,0.2981,,,,,
0.54,0.2905,,,,,
0.57,0.2923,,,,,
0.61,0.3265,,,,,
0.65,0.3141,,,,,
0.68,0.2852,,,,,
0.72,0.3253,,,,,
0.75,0.2977,,,,,
0.79,0.2821,,,,,
0.83,0.2667,,,,,
0.86,0.3344,,,,,
0.9,0.2903,,,,,
0.93,0.3697,,,,,
0.97,0.273,,,,,
1.0,0.3089,0.25726842880249023,0.33920992491021873,0.45912505523641184,0.390161472024033,0.92679118371269
1.04,0.2273,,,,,
1.08,0.2457,,,,,
1.11,0.1934,,,,,
1.15,0.2423,,,,,
1.18,0.2145,,,,,
1.22,0.2348,,,,,
1.26,0.1478,,,,,
1.29,0.2414,,,,,
1.33,0.2234,,,,,
1.36,0.2101,,,,,
1.4,0.2404,,,,,
1.43,0.2138,,,,,
1.47,0.1839,,,,,
1.51,0.271,,,,,
1.54,0.24,,,,,
1.58,0.1777,,,,,
1.61,0.2016,,,,,
1.65,0.2664,,,,,
1.69,0.2237,,,,,
1.72,0.2024,,,,,
1.76,0.2169,,,,,
1.79,0.2187,,,,,
1.83,0.252,,,,,
1.87,0.2039,,,,,
1.9,0.2351,,,,,
1.94,0.1825,,,,,
1.97,0.211,,,,,
2.0,,0.2445984035730362,0.4080645161290323,0.5589924878479894,0.4717508856983032,0.9297339499129181
2.01,0.1863,,,,,
2.04,0.1429,,,,,
2.08,0.1537,,,,,
2.12,0.177,,,,,
2.15,0.1537,,,,,
2.19,0.1549,,,,,
2.22,0.1583,,,,,
2.26,0.1348,,,,,
2.3,0.139,,,,,
2.33,0.1454,,,,,
2.37,0.1292,,,,,
2.4,0.1389,,,,,
2.44,0.1314,,,,,
2.48,0.1429,,,,,
2.51,0.1212,,,,,
2.55,0.143,,,,,
2.58,0.2088,,,,,
2.62,0.1441,,,,,
2.65,0.1824,,,,,
2.69,0.1525,,,,,
2.73,0.1329,,,,,
2.76,0.1483,,,,,
2.8,0.1384,,,,,
2.83,0.1879,,,,,
2.87,0.155,,,,,
2.91,0.1789,,,,,
2.94,0.1488,,,,,
2.98,0.1317,,,,,
3.0,,0.23373380303382874,0.47638376383763836,0.5704816615112682,0.5192036999798914,0.9403639421055793
3.01,0.153,,,,,
3.05,0.1084,,,,,
3.09,0.1059,,,,,
3.12,0.1043,,,,,
3.16,0.1281,,,,,
3.19,0.1084,,,,,
3.23,0.1057,,,,,
3.26,0.0814,,,,,
3.3,0.0836,,,,,
3.34,0.1017,,,,,
3.37,0.0924,,,,,
3.41,0.107,,,,,
3.44,0.0963,,,,,
