entity,precision,recall,f1,support
aeroway,0.5714285714285714,0.631578947368421,0.6,19
amenity,0.33587786259541985,0.46808510638297873,0.3911111111111111,94
boundary,0.6823638042474608,0.7442094662638469,0.7119460500963392,993
bridge,0.0,0.0,0.0,0
building,0.5428571428571428,0.5,0.5205479452054795,38
club,1.0,0.3333333333333333,0.5,3
healthcare,0.0,0.0,0.0,1
highway,0.5896980461811723,0.6522593320235757,0.6194029850746269,509
historic,0.0,0.0,0.0,0
junction,0.0,0.0,0.0,1
landuse,0.23529411764705882,0.2857142857142857,0.2580645161290323,14
leisure,0.4444444444444444,0.45454545454545453,0.44943820224719094,44
man_made,0.2,1.0,0.33333333333333337,1
natural,0.375,0.5106382978723404,0.43243243243243246,47
office,0.0,0.0,0.0,6
place,0.367816091954023,0.5015673981191222,0.42440318302387264,319
railway,0.25,0.2,0.22222222222222224,10
shop,0.15789473684210525,0.3,0.20689655172413793,10
tourism,0.21052631578947367,0.2222222222222222,0.21621621621621623,18
tunnel,0.0,0.0,0.0,2
waterway,0.6296296296296297,0.6732673267326733,0.6507177033492824,101
