entity,precision,recall,f1,support
aeroway,0.6923076923076923,0.75,0.7199999999999999,12
amenity,0.42735042735042733,0.49504950495049505,0.4587155963302752,101
boundary,0.6762331838565022,0.7562688064192578,0.7140151515151516,997
bridge,0.0,0.0,0.0,4
building,0.4418604651162791,0.5588235294117647,0.49350649350649345,34
highway,0.6222961730449251,0.6977611940298507,0.6578715919085313,536
junction,0.0,0.0,0.0,1
landuse,0.2777777777777778,0.2777777777777778,0.2777777777777778,18
leisure,0.43243243243243246,0.36363636363636365,0.39506172839506176,44
man_made,0.1,0.5,0.16666666666666669,2
military,0.0,0.0,0.0,1
natural,0.5471698113207547,0.5272727272727272,0.537037037037037,55
office,0.16666666666666666,0.2,0.1818181818181818,5
place,0.4305177111716621,0.5337837837837838,0.4766214177978884,296
railway,0.42857142857142855,0.3,0.3529411764705882,10
shop,0.17857142857142858,0.35714285714285715,0.2380952380952381,14
tourism,0.26666666666666666,0.3076923076923077,0.28571428571428575,13
waterway,0.65625,0.7078651685393258,0.681081081081081,89
