entity,precision,recall,f1,support
aeroway,0.14285714285714285,0.25,0.18181818181818182,4
amenity,0.42592592592592593,0.5111111111111111,0.4646464646464646,45
boundary,0.5927272727272728,0.63671875,0.6139359698681733,512
bridge,0.0,0.0,0.0,3
building,0.46153846153846156,0.46153846153846156,0.46153846153846156,13
highway,0.5435540069686411,0.611764705882353,0.5756457564575646,255
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.125,0.14285714285714285,0.13333333333333333,7
leisure,0.4,0.5454545454545454,0.4615384615384615,22
man_made,0.2,0.5,0.28571428571428575,2
natural,0.325,0.43333333333333335,0.37142857142857144,30
office,0.0,0.0,0.0,2
place,0.30042918454935624,0.4375,0.356234096692112,160
railway,0.5,0.75,0.6,4
shop,0.2,0.4,0.26666666666666666,5
tourism,0.0,0.0,0.0,4
waterway,0.5636363636363636,0.8157894736842105,0.6666666666666666,38
