entity,precision,recall,f1,support
aeroway,0.5,0.7272727272727273,0.5925925925925926,11
amenity,0.32061068702290074,0.4883720930232558,0.3870967741935484,86
boundary,0.6595555555555556,0.7217898832684825,0.6892707849512308,1028
bridge,0.0,0.0,0.0,3
building,0.4523809523809524,0.4634146341463415,0.4578313253012048,41
club,0.0,0.0,0.0,1
highway,0.6332703213610587,0.6907216494845361,0.6607495069033531,485
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.3,0.17647058823529413,0.22222222222222224,17
leisure,0.509090909090909,0.56,0.5333333333333333,50
man_made,0.25,0.5,0.3333333333333333,2
military,0.0,0.0,0.0,2
natural,0.5272727272727272,0.58,0.5523809523809523,50
office,0.5,0.25,0.3333333333333333,4
place,0.36281179138321995,0.4678362573099415,0.40868454661558107,342
railway,0.125,0.25,0.16666666666666666,4
shop,0.2222222222222222,0.21052631578947367,0.21621621621621623,19
tourism,0.1875,0.21428571428571427,0.19999999999999998,14
waterway,0.6153846153846154,0.7272727272727273,0.6666666666666667,88
