epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.02,1.6816,,,,,
0.04,0.4683,,,,,
0.05,0.3195,,,,,
0.07,0.2618,,,,,
0.09,0.2245,,,,,
0.11,0.2124,,,,,
0.13,0.2034,,,,,
0.15,0.1859,,,,,
0.16,0.1719,,,,,
0.18,0.1825,,,,,
0.2,0.1492,,,,,
0.22,0.1309,,,,,
0.24,0.1768,,,,,
0.25,0.1891,,,,,
0.27,0.2005,,,,,
0.29,0.141,,,,,
0.31,0.1535,,,,,
0.33,0.1784,,,,,
0.35,0.1574,,,,,
0.36,0.1651,,,,,
0.38,0.1343,,,,,
0.4,0.1544,,,,,
0.42,0.1982,,,,,
0.44,0.1405,,,,,
0.46,0.1149,,,,,
0.47,0.1079,,,,,
0.49,0.1169,,,,,
0.51,0.1419,,,,,
0.53,0.142,,,,,
0.55,0.1583,,,,,
0.56,0.1109,,,,,
0.58,0.1292,,,,,
0.6,0.1067,,,,,
0.62,0.0966,,,,,
0.64,0.0991,,,,,
0.66,0.1511,,,,,
0.67,0.1106,,,,,
0.69,0.1156,,,,,
0.71,0.113,,,,,
0.73,0.1206,,,,,
0.75,0.1071,,,,,
0.76,0.1051,,,,,
0.78,0.1067,,,,,
0.8,0.1322,,,,,
0.82,0.1077,,,,,
0.84,0.1086,,,,,
0.86,0.0842,,,,,
0.87,0.1156,,,,,
0.89,0.0973,,,,,
0.91,0.1281,,,,,
0.93,0.0741,,,,,
0.95,0.1022,,,,,
0.96,0.1002,,,,,
0.98,0.1171,,,,,
1.0,0.0993,0.29106295108795166,0.328042328042328,0.37706342311033886,0.35084882780921584,0.9215922435337689
1.02,0.0791,,,,,
1.04,0.0899,,,,,
1.06,0.0676,,,,,
1.07,0.0862,,,,,
1.09,0.0828,,,,,
1.11,0.0619,,,,,
1.13,0.0921,,,,,
1.15,0.0868,,,,,
1.17,0.0905,,,,,
1.18,0.0876,,,,,
1.2,0.081,,,,,
1.22,0.0649,,,,,
1.24,0.0822,,,,,
1.26,0.0928,,,,,
1.27,0.1175,,,,,
1.29,0.0761,,,,,
1.31,0.0675,,,,,
1.33,0.0816,,,,,
1.35,0.1231,,,,,
1.37,0.0724,,,,,
1.38,0.0839,,,,,
1.4,0.0728,,,,,
1.42,0.0928,,,,,
1.44,0.0801,,,,,
1.46,0.0957,,,,,
1.47,0.0779,,,,,
1.49,0.0931,,,,,
1.51,0.0793,,,,,
1.53,0.0744,,,,,
1.55,0.0774,,,,,
1.57,0.0669,,,,,
1.58,0.0713,,,,,
1.6,0.1102,,,,,
1.62,0.0832,,,,,
1.64,0.0966,,,,,
1.66,0.0781,,,,,
1.68,0.0774,,,,,
1.69,0.0786,,,,,
1.71,0.108,,,,,
1.73,0.0871,,,,,
1.75,0.0737,,,,,
1.77,0.0882,,,,,
1.78,0.079,,,,,
1.8,0.0892,,,,,
1.82,0.0699,,,,,
1.84,0.0829,,,,,
1.86,0.0696,,,,,
1.88,0.084,,,,,
1.89,0.048,,,,,
1.91,0.0913,,,,,
1.93,0.0943,,,,,
1.95,0.0766,,,,,
1.97,0.0735,,,,,
1.98,0.0903,,,,,
2.0,0.067,0.2578534185886383,0.4322876817138485,0.4908774978279757,0.4597233523189585,0.9326729095781519
2.02,0.0432,,,,,
2.04,0.0448,,,,,
2.06,0.0612,,,,,
2.08,0.0517,,,,,
2.09,0.0523,,,,,
2.11,0.089,,,,,
2.13,0.047,,,,,
2.15,0.0489,,,,,
2.17,0.0689,,,,,
2.18,0.062,,,,,
2.2,0.0667,,,,,
2.22,0.0418,,,,,
2.24,0.0309,,,,,
2.26,0.0539,,,,,
2.28,0.0717,,,,,
2.29,0.0496,,,,,
2.31,0.0403,,,,,
2.33,0.0471,,,,,
2.35,0.0461,,,,,
2.37,0.0384,,,,,
2.39,0.0484,,,,,
2.4,0.0546,,,,,
2.42,0.0644,,,,,
2.44,0.035,,,,,
2.46,0.0496,,,,,
2.48,0.0559,,,,,
2.49,0.0535,,,,,
2.51,0.0765,,,,,
2.53,0.0511,,,,,
2.55,0.0633,,,,,
2.57,0.055,,,,,
2.59,0.038,,,,,
2.6,0.0376,,,,,
2.62,0.089,,,,,
2.64,0.054,,,,,
2.66,0.0426,,,,,
2.68,0.0578,,,,,
2.69,0.0365,,,,,
2.71,0.0327,,,,,
2.73,0.0379,,,,,
2.75,0.0683,,,,,
2.77,0.0508,,,,,
2.79,0.0779,,,,,
2.8,0.0667,,,,,
2.82,0.042,,,,,
2.84,0.0469,,,,,
2.86,0.0698,,,,,
2.88,0.0437,,,,,
2.89,0.0594,,,,,
2.91,0.0572,,,,,
2.93,0.058,,,,,
2.95,0.0451,,,,,
2.97,0.0492,,,,,
2.99,0.0629,,,,,
3.0,0.0376,0.2603411078453064,0.4699248120300752,0.5430060816681147,0.5038291011688835,0.9374303694559032
3.02,0.0269,,,,,
3.04,0.0226,,,,,
3.06,0.0301,,,,,
3.08,0.0215,,,,,
3.1,0.0279,,,,,
3.11,0.0469,,,,,
3.13,0.0414,,,,,
3.15,0.0488,,,,,
3.17,0.0335,,,,,
3.19,0.0459,,,,,
3.2,0.0352,,,,,
3.22,0.0355,,,,,
3.24,0.0467,,,,,
3.26,0.0423,,,,,
3.28,0.0359,,,,,
3.3,0.0338,,,,,
3.31,0.032,,,,,
3.33,0.0258,,,,,
3.35,0.0267,,,,,
3.37,0.0292,,,,,
3.39,0.0424,,,,,
3.4,0.0244,,,,,
3.42,0.0508,,,,,
3.44,0.0553,,,,,
3.46,0.0288,,,,,
3.48,0.0366,,,,,
3.5,0.0393,,,,,
3.51,0.0416,,,,,
3.53,0.0238,,,,,
3.55,0.0403,,,,,
3.57,0.0289,,,,,
3.59,0.0728,,,,,
3.6,0.0374,,,,,
3.62,0.0299,,,,,
3.64,0.056,,,,,
3.66,0.0313,,,,,
3.68,0.0331,,,,,
3.7,0.0521,,,,,
3.71,0.0222,,,,,
3.73,0.0282,,,,,
3.75,0.0267,,,,,
3.77,0.037,,,,,
3.79,0.027,,,,,
3.81,0.0264,,,,,
3.82,0.0285,,,,,
3.84,0.0266,,,,,
3.86,0.009,,,,,
3.88,0.0272,,,,,
3.9,0.031,,,,,
3.91,0.0341,,,,,
3.93,0.0485,,,,,
3.95,0.046,,,,,
3.97,0.0466,,,,,
3.99,0.056,,,,,
4.0,,0.27163100242614746,0.48050036791758644,0.5673327541268463,0.5203187250996016,0.9389961157447834
4.01,0.0233,,,,,
4.02,0.0148,,,,,
4.04,0.0255,,,,,
4.06,0.0328,,,,,
4.08,0.0439,,,,,
4.1,0.0204,,,,,
4.11,0.0265,,,,,
4.13,0.0178,,,,,
4.15,0.0238,,,,,
4.17,0.0193,,,,,
4.19,0.0182,,,,,
4.21,0.0353,,,,,
4.22,0.0233,,,,,
4.24,0.0285,,,,,
4.26,0.0169,,,,,
4.28,0.0257,,,,,
4.3,0.0227,,,,,
4.31,0.0238,,,,,
4.33,0.0175,,,,,
4.35,0.0153,,,,,
4.37,0.0154,,,,,
4.39,0.0243,,,,,
4.41,0.0156,,,,,
4.42,0.0233,,,,,
4.44,0.0253,,,,,
4.46,0.013,,,,,
