entity,precision,recall,f1,support
aeroway,0.8,0.6666666666666666,0.7272727272727272,6
amenity,0.3492063492063492,0.4782608695652174,0.40366972477064217,46
boundary,0.6227106227106227,0.6640625,0.6427221172022685,512
building,0.3125,0.5,0.38461538461538464,10
highway,0.6156583629893239,0.6577946768060836,0.636029411764706,263
landuse,0.2,0.17647058823529413,0.18750000000000003,17
leisure,0.5,0.6470588235294118,0.5641025641025642,17
man_made,0.0,0.0,0.0,2
natural,0.19230769230769232,0.19230769230769232,0.19230769230769232,26
office,0.0,0.0,0.0,2
place,0.35714285714285715,0.5067567567567568,0.41899441340782123,148
railway,0.5,0.3333333333333333,0.4,3
shop,0.125,0.2,0.15384615384615385,5
tourism,0.1,0.08333333333333333,0.0909090909090909,12
tunnel,0.0,0.0,0.0,1
waterway,0.7407407407407407,0.7142857142857143,0.7272727272727273,56
