epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.04,0.49,,,,,
0.08,0.2296,,,,,
0.13,0.1808,,,,,
0.17,0.1503,,,,,
0.21,0.1668,,,,,
0.25,0.1566,,,,,
0.3,0.1492,,,,,
0.34,0.116,,,,,
0.38,0.1318,,,,,
0.42,0.1163,,,,,
0.47,0.1239,,,,,
0.51,0.1429,,,,,
0.55,0.1336,,,,,
0.59,0.1138,,,,,
0.64,0.1055,,,,,
0.68,0.1119,,,,,
0.72,0.1047,,,,,
0.76,0.1231,,,,,
0.81,0.1035,,,,,
0.85,0.0921,,,,,
0.89,0.0955,,,,,
0.93,0.1008,,,,,
0.98,0.0987,,,,,
1.0,,0.12984599173069,0.5395174708818635,0.5852888086642599,0.5614718614718613,0.953185994835145
1.02,0.0844,,,,,
1.06,0.0847,,,,,
1.1,0.0664,,,,,
1.15,0.0896,,,,,
1.19,0.0639,,,,,
1.23,0.073,,,,,
1.27,0.0705,,,,,
1.31,0.0661,,,,,
1.36,0.0705,,,,,
1.4,0.0741,,,,,
1.44,0.0685,,,,,
1.48,0.0735,,,,,
1.53,0.0689,,,,,
1.57,0.0785,,,,,
1.61,0.0683,,,,,
1.65,0.0647,,,,,
1.7,0.0707,,,,,
1.74,0.0817,,,,,
1.78,0.0655,,,,,
1.82,0.0665,,,,,
1.87,0.0618,,,,,
1.91,0.0774,,,,,
1.95,0.0863,,,,,
1.99,0.0799,,,,,
2.0,,0.12524504959583282,0.6036177742823436,0.6926895306859205,0.645093507039294,0.956504113867035
2.04,0.0577,,,,,
2.08,0.0405,,,,,
2.12,0.033,,,,,
2.16,0.0521,,,,,
2.21,0.0405,,,,,
2.25,0.0487,,,,,
2.29,0.0493,,,,,
2.33,0.0501,,,,,
2.38,0.0674,,,,,
2.42,0.0459,,,,,
2.46,0.0497,,,,,
2.5,0.039,,,,,
2.55,0.0471,,,,,
2.59,0.0472,,,,,
2.63,0.0491,,,,,
2.67,0.0428,,,,,
2.71,0.0443,,,,,
2.76,0.0442,,,,,
2.8,0.0538,,,,,
2.84,0.0505,,,,,
2.88,0.0472,,,,,
2.93,0.0394,,,,,
2.97,0.0468,,,,,
3.0,,0.14892105758190155,0.6223491027732463,0.6886281588447654,0.6538131962296487,0.958290793345745
3.01,0.0322,,,,,
3.05,0.0258,,,,,
3.1,0.0333,,,,,
3.14,0.0252,,,,,
3.18,0.0201,,,,,
3.22,0.0337,,,,,
3.27,0.0275,,,,,
3.31,0.0304,,,,,
3.35,0.0236,,,,,
3.39,0.0382,,,,,
3.44,0.0295,,,,,
3.48,0.0358,,,,,
3.52,0.0267,,,,,
3.56,0.0279,,,,,
3.61,0.0379,,,,,
3.65,0.0287,,,,,
3.69,0.0366,,,,,
3.73,0.0285,,,,,
3.78,0.0342,,,,,
3.82,0.0207,,,,,
3.86,0.0261,,,,,
3.9,0.0324,,,,,
3.94,0.0391,,,,,
3.99,0.0223,,,,,
4.0,,0.1568865329027176,0.6339137645107794,0.6899819494584838,0.66076058772688,0.9596871058795268
4.03,0.0243,,,,,
4.07,0.0242,,,,,
4.11,0.0178,,,,,
4.16,0.0151,,,,,
4.2,0.0189,,,,,
4.24,0.0232,,,,,
4.28,0.0223,,,,,
4.33,0.0258,,,,,
4.37,0.0206,,,,,
4.41,0.0153,,,,,
4.45,0.014,,,,,
4.5,0.0205,,,,,
4.54,0.0129,,,,,
4.58,0.0166,,,,,
4.62,0.0218,,,,,
4.67,0.027,,,,,
4.71,0.016,,,,,
4.75,0.0125,,,,,
4.79,0.0165,,,,,
4.84,0.0139,,,,,
4.88,0.0218,,,,,
4.92,0.0224,,,,,
4.96,0.0214,,,,,
5.0,,0.1747138351202011,0.655819774718398,0.7093862815884476,0.6815521352698894,0.9614887994715032
5.01,0.0181,,,,,
5.05,0.013,,,,,
5.09,0.0179,,,,,
5.13,0.0147,,,,,
5.17,0.0131,,,,,
5.22,0.0118,,,,,
5.26,0.0084,,,,,
5.3,0.0107,,,,,
5.34,0.0164,,,,,
5.39,0.0114,,,,,
