entity,precision,recall,f1
aeroway,0.6153846153846154,0.7272727272727273,0.6666666666666667
amenity,0.43243243243243246,0.5581395348837209,0.4873096446700508
boundary,0.64715860899067,0.7422178988326849,0.691436338921613
bridge,0.0,0.0,0.0
building,0.6170212765957447,0.7073170731707317,0.6590909090909092
club,0.0,0.0,0.0
highway,0.6654205607476635,0.734020618556701,0.6980392156862744
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.13333333333333333,0.11764705882352941,0.125
leisure,0.625,0.7,0.6603773584905661
man_made,0.5,0.5,0.5
military,0.0,0.0,0.0
natural,0.6730769230769231,0.7,0.6862745098039216
office,0.25,0.25,0.25
place,0.4879356568364611,0.5321637426900585,0.5090909090909091
railway,0.14285714285714285,0.25,0.18181818181818182
shop,0.25,0.21052631578947367,0.22857142857142856
tourism,0.29411764705882354,0.35714285714285715,0.3225806451612903
waterway,0.6442307692307693,0.7613636363636364,0.6979166666666667
