entity,precision,recall,f1,support
aeroway,0.25,0.25,0.25,4
amenity,0.42105263157894735,0.5333333333333333,0.47058823529411764,45
boundary,0.6594059405940594,0.650390625,0.654867256637168,512
bridge,0.0,0.0,0.0,3
building,0.4375,0.5384615384615384,0.4827586206896552,13
highway,0.5451505016722408,0.6392156862745098,0.5884476534296029,255
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.2857142857142857,0.2857142857142857,0.2857142857142857,7
leisure,0.39285714285714285,0.5,0.44,22
man_made,0.5,0.5,0.5,2
natural,0.4594594594594595,0.5666666666666667,0.5074626865671642,30
office,0.0,0.0,0.0,2
place,0.2962962962962963,0.45,0.35732009925558317,160
railway,0.4,0.5,0.4444444444444445,4
shop,0.1111111111111111,0.2,0.14285714285714285,5
tourism,0.0,0.0,0.0,4
waterway,0.5294117647058824,0.7105263157894737,0.6067415730337078,38
