entity,precision,recall,f1,support
aeroway,0.7058823529411765,0.6666666666666666,0.6857142857142857,18
amenity,0.44537815126050423,0.49074074074074076,0.4669603524229075,108
boundary,0.6935041171088746,0.7380720545277507,0.7150943396226416,1027
bridge,0.0,0.0,0.0,2
building,0.59375,0.5135135135135135,0.5507246376811593,37
club,0.5,1.0,0.6666666666666666,1
highway,0.6219709208400647,0.7077205882352942,0.6620808254514189,544
junction,0.0,0.0,0.0,2
landuse,0.36363636363636365,0.3333333333333333,0.34782608695652173,12
leisure,0.5405405405405406,0.7142857142857143,0.6153846153846154,28
man_made,0.75,0.42857142857142855,0.5454545454545454,7
natural,0.6078431372549019,0.543859649122807,0.5740740740740741,57
office,0.2857142857142857,0.3333333333333333,0.30769230769230765,6
place,0.44063324538258575,0.4897360703812317,0.4638888888888889,341
railway,0.2222222222222222,0.4,0.2857142857142857,5
shop,0.16666666666666666,0.2,0.1818181818181818,10
tourism,0.4166666666666667,0.3125,0.35714285714285715,16
tunnel,0.0,0.0,0.0,1
waterway,0.6055045871559633,0.7951807228915663,0.6875000000000001,83
